"Diagnóstico Detalhado";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";"Ignorado";" Total"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"108";"66";"78";"125";"183";"325";"583";"1056";"1876";"2419";"2492";"1894";"1286";"707";"0";"13198"
"C37 - Neoplasia maligna do timo";"4";"1";"5";"7";"7";"7";"19";"15";"21";"17";"25";"7";"6";"0";"0";"141"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"102";"60";"65";"57";"66";"78";"103";"124";"147";"159";"178";"125";"88";"67";"0";"1419"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"0";"1";"0";"4";"3";"5";"8";"14";"16";"26";"27";"17";"11";"16";"0";"148"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"629";"157";"156";"137";"148";"175";"199";"247";"249";"256";"208";"198";"138";"120";"0";"3017"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"235";"96";"77";"71";"72";"101";"133";"172";"198";"234";"219";"170";"105";"73";"0";"1956"
"C43 - Melanoma maligno da pele";"86";"64";"94";"163";"225";"306";"394";"539";"663";"729";"717";"653";"552";"672";"0";"5857"
"C44 - Outras neoplasias malignas da pele";"637";"422";"591";"889";"1386";"1952";"3060";"4587";"6181";"7648";"8449";"8510";"7579";"11152";"0";"63043"
"C45 - Mesotelioma";"2";"0";"0";"1";"3";"1";"4";"0";"5";"5";"10";"7";"3";"1";"0";"42"
"C46 - Sarcoma de Kaposi";"10";"13";"26";"33";"23";"14";"15";"24";"16";"14";"9";"12";"14";"13";"0";"236"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"42";"6";"1";"1";"5";"12";"7";"8";"6";"7";"6";"3";"5";"3";"0";"112"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"145";"52";"62";"81";"133";"131";"160";"223";"262";"251";"252";"166";"124";"75";"0";"2117"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"544";"230";"240";"348";"464";"568";"765";"1071";"1203";"1351";"1373";"1315";"1141";"1719";"0";"12332"
"C50 - Neoplasia maligna da mama";"275";"382";"777";"1720";"3174";"5178";"6536";"7139";"6990";"6524";"5417";"3983";"2591";"2474";"0";"53160"
"C51 - Neoplasia maligna da vulva";"9";"12";"26";"35";"44";"63";"93";"119";"126";"135";"138";"134";"120";"170";"0";"1224"
"C52 - Neoplasia maligna da vagina";"4";"8";"11";"12";"53";"56";"64";"77";"92";"103";"77";"68";"46";"51";"0";"722"
"C53 - Neoplasia maligna do colo do útero";"48";"286";"866";"1641";"2307";"2346";"2212";"1895";"1783";"1639";"1252";"877";"584";"439";"0";"18175"
"C54 - Neoplasia maligna do corpo do útero";"16";"17";"48";"126";"228";"344";"493";"733";"1016";"1172";"1058";"734";"387";"263";"0";"6635"
"C55 - Neoplasia maligna do útero, porção não especificada";"2";"3";"20";"46";"87";"102";"124";"115";"121";"141";"138";"88";"53";"42";"0";"1082"
"C56 - Neoplasia maligna do ovário";"183";"164";"207";"271";"452";"592";"724";"833";"824";"839";"635";"439";"253";"199";"0";"6615"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"38";"53";"111";"150";"225";"335";"289";"212";"155";"136";"107";"63";"34";"26";"0";"1934"
"C58 - Neoplasia maligna da placenta";"28";"53";"58";"36";"34";"24";"17";"6";"1";"1";"1";"1";"0";"0";"0";"260"
"C60 - Neoplasia maligna do pênis";"14";"14";"24";"24";"30";"76";"84";"109";"117";"130";"125";"108";"98";"98";"0";"1051"
"C61 - Neoplasia maligna da próstata";"26";"9";"13";"10";"25";"117";"454";"1750";"4161";"7582";"9954";"9091";"6293";"4022";"0";"43507"
"C62 - Neoplasia maligna dos testículos";"177";"275";"345";"311";"249";"121";"81";"58";"61";"59";"52";"50";"41";"34";"0";"1914"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"7";"9";"7";"7";"5";"4";"9";"22";"49";"76";"124";"88";"51";"28";"0";"486"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"288";"36";"37";"70";"141";"214";"325";"465";"604";"727";"669";"489";"318";"170";"1";"4554"
"C65 - Neoplasia maligna da pelve renal";"24";"6";"6";"11";"22";"22";"34";"45";"64";"80";"87";"64";"53";"41";"0";"559"
"C66 - Neoplasia maligna dos ureteres";"5";"3";"6";"7";"3";"9";"13";"19";"26";"33";"35";"38";"31";"23";"0";"251"
"C67 - Neoplasia maligna da bexiga";"29";"20";"40";"58";"98";"138";"237";"424";"795";"1160";"1383";"1265";"1114";"1135";"0";"7896"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"2";"0";"2";"0";"1";"5";"4";"8";"10";"14";"9";"11";"7";"5";"0";"78"
"C69 - Neoplasia maligna do olho e anexos";"185";"9";"11";"28";"31";"48";"58";"74";"84";"96";"103";"86";"82";"77";"0";"972"
"C70 - Neoplasia maligna das meninges";"11";"2";"3";"11";"17";"15";"33";"25";"28";"21";"22";"20";"8";"5";"0";"221"
"C71 - Neoplasia maligna do encéfalo";"748";"154";"183";"227";"267";"344";"453";"507";"609";"623";"518";"326";"174";"63";"0";"5196"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"168";"43";"39";"70";"61";"81";"88";"110";"126";"131";"115";"68";"33";"22";"0";"1155"
"C73 - Neoplasia maligna da glândula tireóide";"147";"237";"379";"535";"654";"765";"848";"951";"833";"800";"599";"398";"255";"118";"0";"7519"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"177";"4";"8";"9";"15";"18";"25";"26";"34";"30";"27";"16";"11";"2";"0";"402"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"35";"14";"26";"25";"33";"31";"34";"48";"52";"55";"33";"26";"11";"12";"0";"435"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"431";"157";"185";"281";"383";"469";"663";"819";"1002";"1166";"1125";"878";"578";"490";"0";"8627"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"409";"247";"301";"346";"487";"593";"803";"982";"1225";"1367";"1126";"898";"579";"492";"0";"9855"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"154";"58";"74";"105";"115";"168";"241";"387";"504";"495";"486";"372";"214";"119";"0";"3492"
"C79 - Neoplasia maligna secundária de outras localizações";"185";"104";"211";"415";"645";"852";"1117";"1573";"1947";"2206";"2033";"1404";"923";"632";"0";"14247"
"C80 - Neoplasia maligna, sem especificação de localização";"706";"798";"881";"1104";"1373";"1613";"2010";"2504";"2792";"3031";"3034";"2300";"1631";"1586";"0";"25363"
"C81 - Doença de Hodgkin";"432";"288";"287";"250";"212";"145";"126";"108";"127";"100";"90";"69";"55";"32";"0";"2321"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"29";"19";"25";"39";"56";"82";"110";"150";"176";"161";"152";"121";"110";"68";"0";"1298"
"C83 - Linfoma não-Hodgkin difuso";"363";"140";"149";"196";"207";"266";"332";"367";"544";"535";"566";"436";"360";"318";"0";"4779"
"C84 - Linfomas de células T cutâneas e periféricas";"51";"23";"31";"45";"43";"50";"49";"68";"84";"69";"71";"56";"42";"23";"0";"705"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"70";"42";"46";"47";"56";"80";"102";"127";"157";"186";"181";"129";"104";"82";"0";"1409"
"C88 - Doenças imunoproliferativas malignas";"279";"185";"239";"353";"433";"405";"401";"348";"388";"368";"320";"220";"146";"102";"0";"4187"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"27";"7";"4";"38";"69";"110";"193";"367";"469";"552";"586";"454";"331";"241";"0";"3448"
"C91 - Leucemia linfóide";"1323";"122";"90";"96";"99";"100";"114";"164";"219";"250";"250";"214";"147";"157";"1";"3346"
"C92 - Leucemia mielóide";"452";"193";"180";"235";"259";"282";"278";"327";"354";"350";"325";"247";"178";"140";"0";"3800"
"C93 - Leucemia monocítica";"16";"10";"7";"14";"17";"19";"12";"19";"10";"18";"15";"14";"7";"10";"0";"188"
"C94 - Outras leucemias de células de tipo especificado";"10";"5";"2";"6";"7";"6";"5";"12";"14";"17";"24";"18";"7";"9";"0";"142"
"C95 - Leucemia de tipo celular não especificado";"85";"7";"8";"10";"15";"10";"18";"23";"27";"19";"29";"31";"17";"10";"0";"309"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"102";"18";"12";"20";"19";"17";"35";"19";"42";"35";"39";"28";"21";"13";"0";"420"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"8";"20";"34";"49";"58";"89";"114";"134";"176";"177";"164";"127";"75";"83";"0";"1308"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"18";"15";"27";"26";"47";"47";"120";"123";"135";"131";"113";"85";"49";"38";"0";"974"
"D01 - Carcinoma in situ de outros órgãos digestivos";"31";"20";"29";"34";"55";"83";"105";"134";"143";"161";"151";"110";"66";"67";"0";"1189"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"4";"6";"6";"6";"11";"12";"15";"33";"29";"40";"35";"29";"18";"16";"0";"260"
"D03 - Melanoma in situ";"12";"11";"13";"13";"16";"25";"26";"43";"40";"62";"65";"56";"37";"38";"0";"457"
"D04 - Carcinoma in situ da pele";"455";"260";"331";"405";"581";"664";"848";"1119";"1268";"1453";"1445";"1226";"1051";"1230";"0";"12336"
"D05 - Carcinoma in situ da mama";"66";"61";"59";"97";"178";"250";"344";"385";"347";"324";"292";"178";"105";"93";"0";"2779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"82";"559";"1352";"1816";"1894";"1434";"1019";"728";"559";"455";"300";"166";"91";"64";"0";"10519"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"10";"13";"26";"44";"61";"98";"125";"169";"218";"266";"339";"244";"127";"77";"0";"1817"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"25";"28";"34";"61";"66";"73";"108";"150";"187";"222";"247";"204";"197";"227";"0";"1829"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"234";"264";"276";"364";"470";"543";"530";"677";"723";"718";"609";"432";"316";"206";"0";"6362"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"28";"19";"23";"29";"40";"42";"74";"100";"144";"193";"173";"124";"82";"52";"0";"1123"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"270";"339";"437";"551";"829";"958";"934";"640";"416";"343";"286";"162";"128";"72";"0";"6365"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"97";"32";"44";"54";"36";"34";"47";"169";"357";"593";"728";"631";"357";"220";"0";"3399"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"26";"6";"8";"33";"33";"56";"61";"84";"120";"153";"150";"113";"70";"77";"0";"990"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"2";"3";"5";"3";"5";"6";"6";"5";"9";"4";"4";"3";"1";"0";"56"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"330";"165";"195";"255";"277";"322";"386";"458";"520";"480";"429";"277";"161";"123";"0";"4378"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"97";"106";"159";"240";"249";"359";"385";"502";"446";"481";"378";"211";"120";"83";"0";"3816"
"D45 - Policitemia vera";"0";"0";"6";"4";"13";"18";"19";"46";"56";"63";"82";"67";"45";"46";"0";"465"
"D46 - Síndromes mielodisplásicas";"139";"13";"20";"21";"43";"48";"67";"80";"133";"149";"176";"160";"150";"165";"0";"1364"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"76";"59";"73";"104";"145";"169";"218";"279";"296";"370";"379";"313";"250";"242";"0";"2973"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"1681";"1193";"1421";"1957";"2522";"3132";"3618";"4242";"4435";"4593";"4235";"3279";"2167";"2035";"0";"40510"
"Total";"15702";"9632";"13232";"19112";"26138";"33021";"41646";"53511";"64772";"73695";"72285";"58688";"42382";"40038";"3";"563857"
