"Diagnóstico Detalhado";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";"Ignorado";" Total"
"C79 - Neoplasia maligna secundária de outras localizações";"156";"76";"146";"272";"483";"653";"866";"1156";"1360";"1394";"1274";"911";"581";"425";"0";"9753"
"C80 - Neoplasia maligna, sem especificação de localização";"93";"77";"98";"138";"218";"275";"393";"582";"723";"767";"689";"565";"396";"372";"0";"5386"
"C81 - Doença de Hodgkin";"464";"263";"272";"205";"169";"106";"114";"113";"100";"81";"68";"38";"35";"26";"0";"2054"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"10";"10";"20";"27";"28";"59";"84";"116";"119";"142";"154";"115";"77";"70";"0";"1031"
"C83 - Linfoma não-Hodgkin difuso";"333";"122";"173";"179";"192";"236";"262";"358";"455";"480";"434";"405";"305";"262";"0";"4196"
"C84 - Linfomas de células T cutâneas e periféricas";"20";"19";"20";"27";"26";"33";"32";"50";"50";"57";"57";"31";"25";"22";"0";"469"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"38";"34";"30";"41";"46";"61";"70";"98";"129";"139";"137";"114";"90";"66";"0";"1093"
"C88 - Doenças imunoproliferativas malignas";"3";"1";"7";"2";"4";"1";"7";"12";"16";"10";"16";"14";"19";"10";"0";"122"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"7";"6";"9";"23";"48";"104";"204";"287";"450";"526";"527";"371";"293";"238";"0";"3093"
"C91 - Leucemia linfóide";"1292";"97";"74";"58";"72";"67";"91";"120";"156";"192";"211";"171";"144";"133";"1";"2879"
"C92 - Leucemia mielóide";"431";"202";"203";"215";"273";"274";"317";"335";"352";"365";"350";"262";"180";"145";"0";"3904"
"C93 - Leucemia monocítica";"4";"1";"0";"0";"5";"0";"2";"7";"3";"5";"4";"1";"1";"1";"0";"34"
"C94 - Outras leucemias de células de tipo especificado";"7";"3";"2";"4";"6";"5";"4";"7";"5";"10";"12";"8";"4";"4";"0";"81"
"C95 - Leucemia de tipo celular não especificado";"95";"3";"5";"3";"3";"6";"10";"6";"9";"4";"9";"9";"4";"5";"0";"171"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"126";"27";"26";"45";"47";"59";"71";"75";"91";"90";"81";"61";"41";"33";"0";"873"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"2";"2";"4";"1";"0";"1";"3";"2";"4";"0";"0";"0";"3";"0";"22"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"9";"2";"3";"9";"10";"11";"16";"17";"11";"7";"13";"5";"3";"3";"0";"119"
"D01 - Carcinoma in situ de outros órgãos digestivos";"13";"2";"9";"13";"27";"43";"57";"108";"121";"137";"123";"88";"56";"27";"0";"824"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"4";"0";"1";"3";"2";"5";"11";"18";"15";"23";"21";"14";"6";"5";"0";"128"
"D03 - Melanoma in situ";"3";"2";"1";"4";"10";"4";"7";"11";"13";"19";"9";"14";"16";"18";"0";"131"
"D04 - Carcinoma in situ da pele";"142";"77";"100";"128";"125";"198";"197";"271";"376";"421";"392";"355";"293";"384";"0";"3459"
"D05 - Carcinoma in situ da mama";"38";"44";"42";"87";"123";"171";"238";"250";"211";"181";"179";"101";"69";"45";"0";"1779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"57";"455";"1091";"1432";"1407";"1007";"688";"458";"321";"264";"147";"84";"53";"41";"0";"7505"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"2";"5";"12";"30";"39";"35";"61";"87";"90";"121";"122";"112";"53";"42";"0";"811"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"4";"3";"10";"13";"29";"30";"38";"43";"81";"120";"117";"113";"92";"110";"0";"803"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"59";"26";"40";"49";"55";"72";"84";"119";"138";"157";"129";"110";"69";"58";"0";"1165"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"16";"6";"10";"26";"18";"29";"32";"48";"67";"86";"83";"70";"39";"26";"0";"556"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"146";"216";"273";"297";"454";"557";"530";"391";"227";"189";"137";"110";"65";"32";"0";"3624"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"60";"27";"29";"22";"30";"22";"23";"62";"110";"178";"260";"226";"152";"104";"0";"1305"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"21";"6";"8";"11";"18";"32";"36";"44";"69";"88";"70";"81";"41";"33";"0";"558"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"1";"0";"1";"2";"2";"1";"4";"4";"2";"3";"5";"1";"1";"1";"0";"28"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"158";"84";"94";"119";"153";"180";"189";"259";"248";"235";"188";"103";"80";"38";"0";"2128"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"59";"57";"99";"124";"158";"162";"215";"295";"246";"249";"167";"125";"59";"26";"0";"2041"
"D45 - Policitemia vera";"2";"0";"5";"5";"9";"19";"32";"38";"63";"72";"66";"37";"46";"53";"0";"447"
"D46 - Síndromes mielodisplásicas";"76";"11";"9";"11";"15";"14";"33";"22";"56";"86";"126";"102";"86";"129";"0";"776"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"10";"25";"39";"40";"40";"85";"102";"125";"170";"209";"226";"196";"178";"188";"0";"1633"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"730";"541";"618";"668";"976";"1067";"1277";"1545";"1603";"1677";"1492";"1040";"733";"661";"0";"14628"
"Total";"9542";"5144";"7679";"10604";"15686";"19749";"25675";"34160";"41338";"46932";"45957";"37187";"26849";"24636";"1";"351139"
