"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C70 - Neoplasia maligna das meninges";"46";"3";"40";"0";"156";"245"
"C71 - Neoplasia maligna do encéfalo";"1308";"604";"1511";"69";"1719";"5211"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"224";"253";"227";"3";"624";"1331"
"C73 - Neoplasia maligna da glândula tireóide";"4033";"68";"106";"0";"3754";"7961"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"150";"152";"22";"0";"137";"461"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"77";"65";"47";"0";"184";"373"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"335";"475";"78";"1";"6260";"7149"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"5957";"0";"1576";"0";"2343";"9876"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1803";"0";"311";"0";"1135";"3249"
"C79 - Neoplasia maligna secundária de outras localizações";"844";"656";"11719";"5";"2133";"15357"
"C80 - Neoplasia maligna, sem especificação de localização";"146";"1948";"0";"0";"14956";"17050"
"C81 - Doença de Hodgkin";"97";"1761";"105";"1";"290";"2254"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"22";"885";"74";"0";"211";"1192"
"C83 - Linfoma não-Hodgkin difuso";"63";"3812";"153";"2";"506";"4536"
"C84 - Linfomas de células T cutâneas e periféricas";"19";"362";"31";"0";"261";"673"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"56";"467";"171";"0";"729";"1423"
"C88 - Doenças imunoproliferativas malignas";"3";"114";"11";"0";"5634";"5762"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"12";"2898";"292";"6";"644";"3852"
"C91 - Leucemia linfóide";"12";"2413";"63";"0";"895";"3383"
"C92 - Leucemia mielóide";"8";"3034";"27";"0";"550";"3619"
"C93 - Leucemia monocítica";"0";"98";"0";"0";"20";"118"
"C94 - Outras leucemias de células de tipo especificado";"8";"32";"19";"0";"172";"231"
"C95 - Leucemia de tipo celular não especificado";"1";"31";"5";"0";"226";"263"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"8";"112";"5";"0";"326";"451"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"1";"0";"0";"0";"36";"37"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"9";"0";"0";"0";"2216";"2225"
"D01 - Carcinoma in situ de outros órgãos digestivos";"47";"0";"0";"0";"2164";"2211"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"107";"0";"0";"0";"314";"421"
"D03 - Melanoma in situ";"36";"0";"0";"0";"342";"378"
"D04 - Carcinoma in situ da pele";"113";"0";"0";"0";"14604";"14717"
"D05 - Carcinoma in situ da mama";"773";"0";"0";"0";"1485";"2258"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"1737";"0";"0";"0";"6496";"8233"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"176";"0";"0";"0";"3081";"3257"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"238";"0";"0";"0";"2924";"3162"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"564";"0";"14";"0";"6807";"7385"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"317";"0";"0";"0";"1084";"1401"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"2329";"42";"4";"0";"3411";"5786"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"712";"0";"0";"0";"3948";"4660"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"702";"0";"0";"0";"531";"1233"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"4";"0";"18";"0";"66";"88"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"1382";"6";"125";"0";"4061";"5574"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"1769";"0";"47";"0";"1249";"3065"
"D45 - Policitemia vera";"1";"422";"0";"0";"74";"497"
"D46 - Síndromes mielodisplásicas";"9";"509";"4";"0";"639";"1161"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"25";"1492";"0";"0";"1595";"3112"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"4573";"0";"37";"0";"49229";"53839"
"Total";"110058";"130942";"49566";"2517";"277634";"570717"
