"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1969";"6818";"1315";"91";"3513";"13706"
"C37 - Neoplasia maligna do timo";"39";"72";"35";"0";"28";"174"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"522";"68";"57";"0";"878";"1525"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"25";"0";"5";"0";"68";"98"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"999";"335";"77";"0";"831";"2242"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"459";"263";"212";"0";"1037";"1971"
"C43 - Melanoma maligno da pele";"2454";"661";"169";"1";"2426";"5711"
"C44 - Outras neoplasias malignas da pele";"16147";"12";"2836";"0";"43310";"62305"
"C45 - Mesotelioma";"6";"0";"2";"0";"34";"42"
"C46 - Sarcoma de Kaposi";"10";"155";"13";"0";"118";"296"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"18";"26";"13";"0";"53";"110"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"900";"161";"19";"0";"1078";"2158"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"3772";"1461";"717";"3";"6846";"12799"
"C50 - Neoplasia maligna da mama";"7783";"37034";"3442";"76";"11960";"60295"
"C51 - Neoplasia maligna da vulva";"500";"138";"201";"19";"453";"1311"
"C52 - Neoplasia maligna da vagina";"194";"1";"129";"0";"287";"611"
"C53 - Neoplasia maligna do colo do útero";"4703";"4604";"5314";"729";"5594";"20944"
"C54 - Neoplasia maligna do corpo do útero";"2941";"1147";"1623";"17";"2191";"7919"
"C55 - Neoplasia maligna do útero, porção não especificada";"531";"0";"3";"0";"442";"976"
"C56 - Neoplasia maligna do ovário";"2917";"2254";"11";"0";"2181";"7363"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"443";"40";"4";"0";"846";"1333"
"C58 - Neoplasia maligna da placenta";"3";"230";"0";"0";"14";"247"
"C60 - Neoplasia maligna do pênis";"585";"129";"45";"1";"354";"1114"
"C61 - Neoplasia maligna da próstata";"7724";"20677";"5393";"146";"9345";"43285"
"C62 - Neoplasia maligna dos testículos";"1206";"659";"3";"0";"175";"2043"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"17";"0";"0";"0";"252";"269"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2707";"577";"68";"1";"1549";"4902"
"C65 - Neoplasia maligna da pelve renal";"283";"63";"3";"0";"162";"511"
"C66 - Neoplasia maligna dos ureteres";"89";"30";"3";"0";"95";"217"
"C67 - Neoplasia maligna da bexiga";"5419";"1129";"155";"7";"1258";"7968"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"6";"19";"11";"0";"40";"76"
"C69 - Neoplasia maligna do olho e anexos";"448";"98";"75";"0";"630";"1251"
"C70 - Neoplasia maligna das meninges";"65";"2";"39";"0";"117";"223"
"C71 - Neoplasia maligna do encéfalo";"1279";"640";"1447";"63";"1614";"5043"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"230";"277";"209";"1";"521";"1238"
"C73 - Neoplasia maligna da glândula tireóide";"4466";"49";"96";"0";"4733";"9344"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"183";"160";"11";"0";"123";"477"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"109";"59";"34";"0";"194";"396"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"391";"476";"93";"1";"6051";"7012"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"6308";"0";"1492";"0";"1965";"9765"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1885";"0";"255";"0";"1277";"3417"
"C79 - Neoplasia maligna secundária de outras localizações";"866";"566";"10519";"2";"3235";"15188"
"C80 - Neoplasia maligna, sem especificação de localização";"224";"1920";"0";"0";"19291";"21435"
"C81 - Doença de Hodgkin";"89";"1764";"111";"0";"293";"2257"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"19";"822";"98";"0";"215";"1154"
"C83 - Linfoma não-Hodgkin difuso";"68";"3685";"160";"0";"605";"4518"
"C84 - Linfomas de células T cutâneas e periféricas";"17";"377";"29";"0";"257";"680"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"78";"561";"218";"0";"802";"1659"
"C88 - Doenças imunoproliferativas malignas";"6";"103";"8";"0";"5992";"6109"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"12";"3139";"295";"5";"1143";"4594"
"C91 - Leucemia linfóide";"16";"2435";"65";"0";"946";"3462"
"C92 - Leucemia mielóide";"7";"3069";"23";"0";"531";"3630"
"C93 - Leucemia monocítica";"0";"106";"0";"0";"21";"127"
"C94 - Outras leucemias de células de tipo especificado";"2";"27";"16";"0";"99";"144"
"C95 - Leucemia de tipo celular não especificado";"3";"25";"7";"0";"127";"162"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"11";"109";"8";"0";"334";"462"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"1";"0";"0";"0";"49";"50"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"16";"0";"0";"0";"2775";"2791"
"D01 - Carcinoma in situ de outros órgãos digestivos";"45";"0";"0";"0";"1884";"1929"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"92";"0";"0";"0";"229";"321"
"D03 - Melanoma in situ";"34";"0";"0";"0";"1417";"1451"
"D04 - Carcinoma in situ da pele";"92";"0";"0";"0";"17930";"18022"
"D05 - Carcinoma in situ da mama";"849";"0";"0";"0";"1927";"2776"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"2141";"0";"0";"0";"7380";"9521"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"236";"0";"0";"0";"3389";"3625"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"335";"0";"0";"0";"3106";"3441"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"611";"0";"9";"0";"10211";"10831"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"332";"0";"0";"0";"1171";"1503"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"2587";"23";"4";"0";"3631";"6245"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"866";"0";"0";"0";"4744";"5610"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"722";"0";"0";"0";"497";"1219"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"7";"0";"27";"0";"101";"135"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"1416";"7";"121";"1";"2386";"3931"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"2639";"0";"38";"0";"1735";"4412"
"D45 - Policitemia vera";"0";"417";"0";"0";"74";"491"
"D46 - Síndromes mielodisplásicas";"2";"569";"5";"0";"687";"1263"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"24";"1721";"0";"0";"3760";"5505"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"5183";"0";"33";"0";"58095";"63311"
"Total";"121758";"136322";"50268";"2500";"320063";"630911"
