"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"8";"149";"4";"0";"243";"404"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"0";"0";"0";"593";"593"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"15";"0";"0";"0";"1273";"1288"
"D01 - Carcinoma in situ de outros órgãos digestivos";"28";"0";"0";"0";"1493";"1521"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"83";"0";"0";"0";"179";"262"
"D03 - Melanoma in situ";"26";"0";"0";"0";"312";"338"
"D04 - Carcinoma in situ da pele";"88";"0";"0";"0";"10783";"10871"
"D05 - Carcinoma in situ da mama";"837";"0";"0";"0";"1295";"2132"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"1731";"0";"0";"0";"5880";"7611"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"199";"0";"0";"0";"1756";"1955"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"254";"0";"0";"0";"1618";"1872"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"487";"0";"11";"0";"6252";"6750"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"288";"0";"0";"0";"779";"1067"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"1898";"18";"6";"0";"2879";"4801"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"679";"0";"0";"0";"2880";"3559"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"583";"0";"0";"0";"339";"922"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"13";"0";"28";"0";"30";"71"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"1281";"1";"97";"0";"2914";"4293"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"1493";"0";"35";"0";"981";"2509"
"D45 - Policitemia vera";"0";"383";"0";"0";"49";"432"
"D46 - Síndromes mielodisplásicas";"2";"473";"5";"0";"597";"1077"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"21";"1306";"2";"0";"1412";"2741"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"3983";"0";"19";"0";"38802";"42804"
"Total";"104301";"118767";"46458";"2451";"236660";"508637"
