"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C31 - Neoplasia maligna dos seios da face";"194";"127";"148";"3";"134";"606"
"C32 - Neoplasia maligna da laringe";"1967";"946";"1390";"93";"613";"5009"
"C33 - Neoplasia maligna da traquéia";"11";"0";"8";"0";"22";"41"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1436";"6122";"1913";"79";"1513";"11063"
"C37 - Neoplasia maligna do timo";"26";"55";"43";"0";"9";"133"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"350";"68";"35";"0";"276";"729"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"24";"0";"3";"0";"52";"79"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"815";"393";"109";"0";"716";"2033"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"282";"242";"398";"0";"443";"1365"
"C43 - Melanoma maligno da pele";"1512";"878";"250";"0";"1061";"3701"
"C44 - Outras neoplasias malignas da pele";"9814";"6";"2396";"0";"16858";"29074"
"C45 - Mesotelioma";"10";"0";"4";"0";"17";"31"
"C46 - Sarcoma de Kaposi";"3";"147";"32";"0";"46";"228"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"6";"20";"26";"0";"14";"66"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"606";"152";"38";"0";"340";"1136"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"2713";"1386";"698";"1";"4273";"9071"
"C50 - Neoplasia maligna da mama";"8466";"28889";"2676";"61";"4326";"44418"
"C51 - Neoplasia maligna da vulva";"323";"118";"161";"7";"129";"738"
"C52 - Neoplasia maligna da vagina";"131";"4";"148";"0";"85";"368"
"C53 - Neoplasia maligna do colo do útero";"3134";"3598";"5412";"622";"2060";"14826"
"C54 - Neoplasia maligna do corpo do útero";"1950";"895";"1486";"3";"585";"4919"
"C55 - Neoplasia maligna do útero, porção não especificada";"389";"0";"3";"0";"111";"503"
"C56 - Neoplasia maligna do ovário";"2045";"2181";"25";"1";"995";"5247"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"265";"55";"2";"0";"642";"964"
"C58 - Neoplasia maligna da placenta";"0";"248";"0";"0";"5";"253"
"C60 - Neoplasia maligna do pênis";"476";"119";"51";"0";"168";"814"
"C61 - Neoplasia maligna da próstata";"6754";"18037";"6663";"81";"5058";"36593"
"C62 - Neoplasia maligna dos testículos";"914";"576";"16";"0";"92";"1598"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"12";"0";"2";"0";"49";"63"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"1604";"604";"166";"2";"737";"3113"
"C65 - Neoplasia maligna da pelve renal";"134";"50";"11";"0";"86";"281"
"C66 - Neoplasia maligna dos ureteres";"51";"21";"3";"0";"30";"105"
"C67 - Neoplasia maligna da bexiga";"3662";"957";"141";"6";"1255";"6021"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"6";"8";"9";"0";"18";"41"
"C69 - Neoplasia maligna do olho e anexos";"222";"80";"56";"0";"147";"505"
"C70 - Neoplasia maligna das meninges";"42";"4";"40";"0";"96";"182"
"C71 - Neoplasia maligna do encéfalo";"887";"396";"1873";"35";"1134";"4325"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"158";"193";"248";"2";"248";"849"
"C73 - Neoplasia maligna da glândula tireóide";"2829";"54";"99";"2";"1383";"4367"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"88";"154";"13";"0";"70";"325"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"63";"51";"60";"0";"42";"216"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"190";"383";"98";"3";"393";"1067"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"3940";"0";"1134";"0";"746";"5820"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1271";"0";"169";"0";"685";"2125"
"C79 - Neoplasia maligna secundária de outras localizações";"621";"1073";"7335";"5";"719";"9753"
"C80 - Neoplasia maligna, sem especificação de localização";"96";"2200";"0";"0";"3090";"5386"
"C81 - Doença de Hodgkin";"71";"1698";"131";"2";"152";"2054"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"17";"811";"100";"0";"103";"1031"
"C83 - Linfoma não-Hodgkin difuso";"35";"3709";"132";"1";"319";"4196"
"C84 - Linfomas de células T cutâneas e periféricas";"16";"301";"32";"0";"120";"469"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"42";"446";"176";"0";"429";"1093"
"C88 - Doenças imunoproliferativas malignas";"0";"100";"1";"0";"21";"122"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"6";"2484";"275";"10";"318";"3093"
"C91 - Leucemia linfóide";"6";"2395";"63";"0";"415";"2879"
"C92 - Leucemia mielóide";"4";"3156";"22";"0";"722";"3904"
"C93 - Leucemia monocítica";"0";"24";"2";"0";"8";"34"
"C94 - Outras leucemias de células de tipo especificado";"2";"20";"13";"0";"46";"81"
"C95 - Leucemia de tipo celular não especificado";"0";"69";"3";"0";"99";"171"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"4";"122";"4";"0";"743";"873"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"4";"0";"0";"0";"18";"22"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"12";"0";"0";"0";"107";"119"
"D01 - Carcinoma in situ de outros órgãos digestivos";"36";"0";"0";"0";"788";"824"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"96";"0";"0";"0";"32";"128"
"D03 - Melanoma in situ";"22";"0";"0";"0";"109";"131"
"D04 - Carcinoma in situ da pele";"126";"0";"0";"0";"3333";"3459"
"D05 - Carcinoma in situ da mama";"785";"0";"0";"0";"994";"1779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"1507";"0";"0";"0";"5998";"7505"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"151";"0";"0";"0";"660";"811"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"258";"0";"0";"0";"545";"803"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"392";"0";"1";"0";"772";"1165"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"219";"0";"1";"0";"336";"556"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"1531";"16";"3";"0";"2074";"3624"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"626";"0";"0";"0";"679";"1305"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"392";"0";"0";"0";"166";"558"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"0";"17";"0";"11";"28"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"867";"2";"132";"0";"1127";"2128"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"1592";"0";"36";"0";"413";"2041"
"D45 - Policitemia vera";"0";"412";"0";"0";"35";"447"
"D46 - Síndromes mielodisplásicas";"0";"533";"2";"0";"241";"776"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"11";"1465";"1";"0";"156";"1633"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"3230";"0";"33";"0";"11365";"14628"
"Total";"86922";"117596";"48141";"2170";"96310";"351139"
