"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C53 - Neoplasia maligna do colo do útero";"4553";"3865";"5005";"669";"4083";"18175"
"C54 - Neoplasia maligna do corpo do útero";"2557";"1015";"1347";"8";"1708";"6635"
"C55 - Neoplasia maligna do útero, porção não especificada";"530";"0";"4";"0";"548";"1082"
"C56 - Neoplasia maligna do ovário";"2907";"2203";"14";"0";"1491";"6615"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"459";"58";"2";"0";"1415";"1934"
"C58 - Neoplasia maligna da placenta";"0";"232";"0";"0";"28";"260"
"C60 - Neoplasia maligna do pênis";"610";"111";"36";"1";"293";"1051"
"C61 - Neoplasia maligna da próstata";"8865";"18909";"5507";"111";"10115";"43507"
"C62 - Neoplasia maligna dos testículos";"1174";"549";"4";"0";"187";"1914"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"20";"0";"0";"0";"466";"486"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2474";"570";"64";"1";"1445";"4554"
"C65 - Neoplasia maligna da pelve renal";"253";"57";"7";"0";"242";"559"
"C66 - Neoplasia maligna dos ureteres";"78";"34";"3";"0";"136";"251"
"C67 - Neoplasia maligna da bexiga";"4940";"959";"132";"4";"1861";"7896"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"7";"16";"8";"0";"47";"78"
"C69 - Neoplasia maligna do olho e anexos";"373";"85";"64";"0";"450";"972"
"C70 - Neoplasia maligna das meninges";"50";"2";"44";"0";"125";"221"
"C71 - Neoplasia maligna do encéfalo";"1208";"502";"1699";"49";"1738";"5196"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"231";"257";"223";"5";"439";"1155"
"C73 - Neoplasia maligna da glândula tireóide";"4149";"72";"112";"1";"3185";"7519"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"138";"143";"15";"0";"106";"402"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"74";"48";"58";"0";"255";"435"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"264";"424";"98";"0";"7841";"8627"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"6114";"0";"1598";"0";"2143";"9855"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1946";"0";"248";"0";"1298";"3492"
"C79 - Neoplasia maligna secundária de outras localizações";"883";"827";"11150";"3";"1384";"14247"
"C80 - Neoplasia maligna, sem especificação de localização";"223";"2201";"0";"0";"22939";"25363"
"C81 - Doença de Hodgkin";"89";"1762";"99";"2";"369";"2321"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"19";"834";"99";"1";"345";"1298"
"C83 - Linfoma não-Hodgkin difuso";"67";"3854";"150";"0";"708";"4779"
"C84 - Linfomas de células T cutâneas e periféricas";"22";"327";"23";"0";"333";"705"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"59";"457";"174";"0";"719";"1409"
"C88 - Doenças imunoproliferativas malignas";"2";"109";"4";"0";"4072";"4187"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"11";"2572";"306";"1";"558";"3448"
"C91 - Leucemia linfóide";"10";"2332";"63";"0";"941";"3346"
"C92 - Leucemia mielóide";"7";"3207";"21";"0";"565";"3800"
"C93 - Leucemia monocítica";"0";"34";"0";"0";"154";"188"
"C94 - Outras leucemias de células de tipo especificado";"4";"16";"12";"0";"110";"142"
"C95 - Leucemia de tipo celular não especificado";"3";"42";"12";"0";"252";"309"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"12";"106";"3";"0";"299";"420"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"1";"0";"0";"0";"1307";"1308"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"14";"0";"0";"0";"960";"974"
"D01 - Carcinoma in situ de outros órgãos digestivos";"43";"0";"0";"0";"1146";"1189"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"120";"0";"0";"0";"140";"260"
"D03 - Melanoma in situ";"39";"0";"0";"0";"418";"457"
"D04 - Carcinoma in situ da pele";"113";"0";"0";"0";"12223";"12336"
"D05 - Carcinoma in situ da mama";"1094";"0";"0";"0";"1685";"2779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"1981";"0";"0";"0";"8538";"10519"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"261";"0";"0";"0";"1556";"1817"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"373";"0";"0";"0";"1456";"1829"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"618";"0";"9";"0";"5735";"6362"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"316";"0";"0";"0";"807";"1123"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"2413";"22";"8";"0";"3922";"6365"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"843";"0";"0";"0";"2556";"3399"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"663";"0";"0";"0";"327";"990"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"4";"0";"23";"0";"29";"56"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"1204";"3";"151";"0";"3020";"4378"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"2627";"0";"31";"0";"1158";"3816"
"D45 - Policitemia vera";"0";"413";"0";"0";"52";"465"
"D46 - Síndromes mielodisplásicas";"6";"505";"5";"0";"848";"1364"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"18";"1500";"1";"0";"1454";"2973"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"5308";"0";"40";"0";"35162";"40510"
"Total";"123178";"124650";"49636";"2245";"264148";"563857"
