"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C21 - Neoplasia maligna do ânus e do canal anal";"72";"72";"291";"547";"171";"239";"686";"2078"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"28";"37";"36";"113";"540";"1095";"1442";"3291"
"C23 - Neoplasia maligna da vesícula biliar";"8";"10";"29";"59";"291";"534";"229";"1160"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"19";"17";"32";"75";"308";"319";"425";"1195"
"C25 - Neoplasia maligna do pâncreas";"65";"73";"172";"408";"1475";"836";"1191";"4220"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"0";"0";"0";"0";"0";"105";"710";"815"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"0";"0";"0";"0";"0";"50";"315";"365"
"C31 - Neoplasia maligna dos seios da face";"21";"15";"23";"117";"154";"252";"226";"808"
"C32 - Neoplasia maligna da laringe";"111";"308";"291";"769";"870";"2140";"869";"5358"
"C33 - Neoplasia maligna da traquéia";"0";"0";"0";"0";"0";"11";"46";"57"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"241";"260";"370";"1905";"4911";"1867";"3146";"12700"
"C37 - Neoplasia maligna do timo";"0";"0";"0";"0";"0";"40";"105";"145"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"10";"10";"12";"30";"28";"517";"668";"1275"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"0";"0";"0";"0";"0";"34";"98";"132"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"81";"62";"73";"110";"164";"851";"797";"2138"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"43";"48";"47";"108";"285";"366";"860";"1757"
"C43 - Melanoma maligno da pele";"71";"36";"62";"210";"682";"1838";"2103";"5002"
"C44 - Outras neoplasias malignas da pele";"204";"764";"614";"508";"253";"12155";"32685";"47183"
"C45 - Mesotelioma";"0";"0";"0";"0";"0";"5";"41";"46"
"C46 - Sarcoma de Kaposi";"0";"0";"0";"0";"0";"4";"272";"276"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"0";"0";"0";"0";"0";"7";"98";"105"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"16";"9";"5";"36";"81";"818";"720";"1685"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"124";"156";"294";"571";"828";"3395";"4433";"9801"
"C50 - Neoplasia maligna da mama";"1123";"5338";"8863";"12598";"4528";"6876";"9829";"49155"
"C51 - Neoplasia maligna da vulva";"21";"32";"64";"165";"94";"437";"367";"1180"
"C52 - Neoplasia maligna da vagina";"17";"16";"34";"44";"31";"152";"257";"551"
"C53 - Neoplasia maligna do colo do útero";"416";"877";"2536";"3769";"1904";"3972";"4568";"18042"
"C54 - Neoplasia maligna do corpo do útero";"83";"590";"379";"614";"650";"2392";"1648";"6356"
"C55 - Neoplasia maligna do útero, porção não especificada";"0";"0";"0";"0";"0";"520";"370";"890"
"C56 - Neoplasia maligna do ovário";"78";"253";"197";"859";"873";"2810";"1506";"6576"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"1";"7";"6";"19";"19";"407";"733";"1192"
"C58 - Neoplasia maligna da placenta";"0";"0";"0";"0";"0";"0";"308";"308"
"C60 - Neoplasia maligna do pênis";"6";"4";"12";"65";"82";"562";"310";"1041"
"C61 - Neoplasia maligna da próstata";"981";"1864";"5640";"4456";"5845";"6554";"7722";"33062"
"C62 - Neoplasia maligna dos testículos";"31";"146";"155";"172";"124";"1065";"176";"1869"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"0";"0";"0";"0";"0";"7";"114";"121"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"53";"55";"57";"76";"372";"2237";"1241";"4091"
"C65 - Neoplasia maligna da pelve renal";"2";"2";"3";"16";"43";"256";"170";"492"
"C66 - Neoplasia maligna dos ureteres";"2";"0";"4";"7";"22";"78";"96";"209"
"C67 - Neoplasia maligna da bexiga";"92";"404";"163";"225";"227";"4676";"1237";"7024"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"1";"4";"0";"4";"15";"5";"54";"83"
"C69 - Neoplasia maligna do olho e anexos";"24";"32";"12";"11";"11";"340";"607";"1037"
"C70 - Neoplasia maligna das meninges";"0";"0";"0";"0";"0";"57";"170";"227"
"C71 - Neoplasia maligna do encéfalo";"0";"0";"0";"0";"0";"1265";"3716";"4981"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"0";"0";"0";"0";"0";"249";"1104";"1353"
"C73 - Neoplasia maligna da glândula tireóide";"11";"6";"13";"21";"97";"3418";"2966";"6532"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"0";"0";"0";"0";"0";"131";"289";"420"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"0";"0";"0";"0";"0";"71";"291";"362"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"0";"0";"0";"0";"0";"264";"6542";"6806"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"0";"0";"0";"0";"0";"6115";"3498";"9613"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"0";"0";"0";"0";"0";"1805";"1513";"3318"
"C79 - Neoplasia maligna secundária de outras localizações";"0";"0";"0";"0";"0";"844";"14250";"15094"
"C80 - Neoplasia maligna, sem especificação de localização";"0";"0";"0";"0";"0";"154";"19935";"20089"
"C81 - Doença de Hodgkin";"415";"233";"483";"403";"342";"90";"285";"2251"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"243";"124";"126";"210";"238";"19";"209";"1169"
"C83 - Linfoma não-Hodgkin difuso";"951";"545";"636";"771";"1010";"58";"493";"4464"
"C84 - Linfomas de células T cutâneas e periféricas";"80";"33";"54";"61";"62";"12";"336";"638"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"133";"118";"88";"144";"170";"66";"663";"1382"
"C88 - Doenças imunoproliferativas malignas";"0";"0";"0";"0";"0";"2";"3277";"3279"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"0";"0";"0";"0";"0";"13";"3386";"3399"
"C91 - Leucemia linfóide";"0";"0";"0";"0";"0";"14";"3033";"3047"
"C92 - Leucemia mielóide";"0";"0";"0";"0";"0";"4";"3336";"3340"
"C93 - Leucemia monocítica";"0";"0";"0";"0";"0";"0";"45";"45"
"C94 - Outras leucemias de células de tipo especificado";"0";"0";"0";"0";"0";"3";"151";"154"
"C95 - Leucemia de tipo celular não especificado";"0";"0";"0";"0";"0";"3";"244";"247"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"0";"0";"0";"0";"0";"8";"396";"404"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"0";"0";"0";"0";"0";"593";"593"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"0";"0";"0";"0";"0";"15";"1273";"1288"
"D01 - Carcinoma in situ de outros órgãos digestivos";"0";"0";"0";"0";"0";"28";"1493";"1521"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"0";"0";"0";"0";"0";"83";"179";"262"
"D03 - Melanoma in situ";"0";"0";"0";"0";"0";"26";"312";"338"
"D04 - Carcinoma in situ da pele";"0";"0";"0";"0";"0";"88";"10783";"10871"
"D05 - Carcinoma in situ da mama";"0";"0";"0";"0";"0";"837";"1295";"2132"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"0";"0";"0";"0";"0";"1731";"5880";"7611"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"0";"0";"0";"0";"0";"199";"1756";"1955"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"0";"0";"0";"0";"0";"254";"1618";"1872"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"0";"0";"0";"0";"0";"487";"6263";"6750"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"0";"0";"0";"0";"0";"288";"779";"1067"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"0";"0";"0";"0";"0";"1898";"2903";"4801"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"0";"0";"0";"0";"0";"679";"2880";"3559"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"0";"0";"0";"0";"0";"583";"339";"922"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"0";"0";"0";"0";"13";"58";"71"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"0";"0";"0";"0";"0";"1281";"3012";"4293"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"0";"0";"0";"0";"0";"1493";"1016";"2509"
"D45 - Policitemia vera";"0";"0";"0";"0";"0";"0";"432";"432"
"D46 - Síndromes mielodisplásicas";"0";"0";"0";"0";"0";"2";"1075";"1077"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"0";"0";"0";"0";"0";"21";"2720";"2741"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"0";"0";"0";"0";"0";"3983";"38821";"42804"
"Total";"7226";"13905";"27531";"44312";"43222";"104301";"268140";"508637"
