"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C69 - Neoplasia maligna do olho e anexos";"7";"41";"18";"7";"3";"420";"715";"1211"
"C70 - Neoplasia maligna das meninges";"0";"0";"0";"0";"0";"56";"156";"212"
"C71 - Neoplasia maligna do encéfalo";"0";"0";"0";"0";"0";"1596";"3702";"5298"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"0";"0";"0";"0";"0";"286";"969";"1255"
"C73 - Neoplasia maligna da glândula tireóide";"7";"8";"10";"27";"95";"4601";"4936";"9684"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"0";"0";"0";"0";"0";"157";"316";"473"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"0";"0";"0";"0";"0";"92";"232";"324"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"0";"0";"0";"0";"0";"344";"6053";"6397"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"0";"0";"0";"0";"0";"6247";"3177";"9424"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"0";"0";"0";"0";"0";"2032";"1491";"3523"
"C79 - Neoplasia maligna secundária de outras localizações";"0";"0";"0";"0";"0";"862";"12162";"13024"
"C80 - Neoplasia maligna, sem especificação de localização";"0";"0";"0";"0";"0";"207";"21147";"21354"
"C81 - Doença de Hodgkin";"455";"207";"417";"446";"438";"99";"241";"2303"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"199";"138";"124";"209";"221";"42";"438";"1371"
"C83 - Linfoma não-Hodgkin difuso";"982";"481";"612";"805";"1016";"61";"497";"4454"
"C84 - Linfomas de células T cutâneas e periféricas";"78";"53";"65";"84";"102";"19";"408";"809"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"173";"123";"107";"125";"209";"83";"989";"1809"
"C88 - Doenças imunoproliferativas malignas";"0";"0";"0";"0";"0";"5";"4544";"4549"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"0";"0";"0";"0";"0";"14";"4287";"4301"
"C91 - Leucemia linfóide";"0";"0";"0";"0";"0";"12";"2997";"3009"
"C92 - Leucemia mielóide";"0";"0";"0";"0";"0";"9";"3959";"3968"
"C93 - Leucemia monocítica";"0";"0";"0";"0";"0";"3";"106";"109"
"C94 - Outras leucemias de células de tipo especificado";"0";"0";"0";"0";"0";"2";"218";"220"
"C95 - Leucemia de tipo celular não especificado";"0";"0";"0";"0";"0";"6";"212";"218"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"0";"0";"0";"0";"0";"5";"624";"629"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"0";"0";"0";"0";"1";"119";"120"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"0";"0";"0";"0";"0";"21";"3904";"3925"
"D01 - Carcinoma in situ de outros órgãos digestivos";"0";"0";"0";"0";"0";"36";"3426";"3462"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"0";"0";"0";"0";"0";"127";"237";"364"
"D03 - Melanoma in situ";"0";"0";"0";"0";"0";"60";"2016";"2076"
"D04 - Carcinoma in situ da pele";"0";"0";"0";"0";"0";"131";"19082";"19213"
"D05 - Carcinoma in situ da mama";"0";"0";"0";"0";"0";"946";"2039";"2985"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"0";"0";"0";"0";"0";"2458";"9046";"11504"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"0";"0";"0";"0";"0";"241";"3557";"3798"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"0";"0";"0";"0";"0";"433";"4413";"4846"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"0";"0";"0";"0";"0";"729";"11635";"12364"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"0";"0";"0";"0";"0";"349";"1136";"1485"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"0";"0";"0";"0";"0";"2946";"4557";"7503"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"0";"0";"0";"0";"0";"872";"4401";"5273"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"0";"0";"0";"0";"0";"789";"512";"1301"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"0";"0";"0";"0";"9";"51";"60"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"0";"0";"0";"0";"0";"1691";"3050";"4741"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"0";"0";"0";"0";"0";"2746";"2715";"5461"
"D45 - Policitemia vera";"0";"0";"0";"0";"0";"0";"567";"567"
"D46 - Síndromes mielodisplásicas";"0";"0";"0";"0";"0";"12";"1468";"1480"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"0";"0";"0";"0";"0";"30";"6357";"6387"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"0";"0";"0";"0";"0";"5267";"63196";"68463"
"Total";"7918";"17882";"31329";"51978";"48298";"128092";"379837";"665334"
