"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C23 - Neoplasia maligna da vesícula biliar";"11";"13";"27";"53";"289";"616";"302";"1311"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"17";"14";"31";"57";"263";"335";"426";"1143"
"C25 - Neoplasia maligna do pâncreas";"75";"73";"168";"379";"1262";"872";"1293";"4122"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"0";"0";"0";"0";"0";"109";"958";"1067"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"0";"0";"0";"0";"0";"54";"375";"429"
"C31 - Neoplasia maligna dos seios da face";"19";"25";"30";"95";"131";"254";"323";"877"
"C32 - Neoplasia maligna da laringe";"124";"355";"330";"760";"910";"2195";"958";"5632"
"C33 - Neoplasia maligna da traquéia";"0";"0";"0";"0";"0";"12";"183";"195"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"245";"363";"421";"2010";"4968";"1999";"3192";"13198"
"C37 - Neoplasia maligna do timo";"0";"0";"0";"0";"0";"28";"113";"141"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"17";"8";"14";"29";"24";"571";"756";"1419"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"0";"0";"0";"0";"0";"25";"123";"148"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"106";"35";"75";"106";"197";"1120";"1378";"3017"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"82";"39";"54";"92";"349";"408";"932";"1956"
"C43 - Melanoma maligno da pele";"52";"45";"69";"214";"648";"2129";"2700";"5857"
"C44 - Outras neoplasias malignas da pele";"213";"961";"756";"514";"271";"16629";"43699";"63043"
"C45 - Mesotelioma";"0";"0";"0";"0";"0";"10";"32";"42"
"C46 - Sarcoma de Kaposi";"0";"0";"0";"0";"0";"5";"231";"236"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"0";"0";"0";"0";"0";"24";"88";"112"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"21";"21";"11";"38";"93";"902";"1031";"2117"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"165";"176";"324";"547";"847";"4326";"5947";"12332"
"C50 - Neoplasia maligna da mama";"1301";"6510";"9803";"12595";"4338";"9138";"9475";"53160"
"C51 - Neoplasia maligna da vulva";"23";"33";"57";"151";"88";"475";"397";"1224"
"C52 - Neoplasia maligna da vagina";"7";"24";"33";"52";"33";"203";"370";"722"
"C53 - Neoplasia maligna do colo do útero";"413";"871";"2714";"3757";"1784";"4553";"4083";"18175"
"C54 - Neoplasia maligna do corpo do útero";"90";"617";"394";"554";"709";"2557";"1714";"6635"
"C55 - Neoplasia maligna do útero, porção não especificada";"0";"0";"0";"0";"0";"530";"552";"1082"
"C56 - Neoplasia maligna do ovário";"57";"252";"197";"798";"913";"2907";"1491";"6615"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"3";"5";"5";"19";"25";"459";"1418";"1934"
"C58 - Neoplasia maligna da placenta";"0";"0";"0";"0";"0";"0";"260";"260"
"C60 - Neoplasia maligna do pênis";"5";"6";"7";"57";"73";"610";"293";"1051"
"C61 - Neoplasia maligna da próstata";"1207";"2552";"7931";"6226";"6611";"8865";"10115";"43507"
"C62 - Neoplasia maligna dos testículos";"38";"137";"100";"172";"106";"1174";"187";"1914"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"0";"0";"0";"0";"0";"20";"466";"486"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"80";"59";"45";"82";"369";"2474";"1445";"4554"
"C65 - Neoplasia maligna da pelve renal";"6";"4";"2";"12";"40";"253";"242";"559"
"C66 - Neoplasia maligna dos ureteres";"2";"2";"4";"5";"24";"78";"136";"251"
"C67 - Neoplasia maligna da bexiga";"112";"430";"155";"192";"206";"4940";"1861";"7896"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"0";"2";"1";"3";"14";"7";"51";"78"
"C69 - Neoplasia maligna do olho e anexos";"28";"18";"12";"17";"11";"373";"513";"972"
"C70 - Neoplasia maligna das meninges";"0";"0";"0";"0";"0";"50";"171";"221"
"C71 - Neoplasia maligna do encéfalo";"0";"0";"0";"0";"0";"1208";"3988";"5196"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"0";"0";"0";"0";"0";"231";"924";"1155"
"C73 - Neoplasia maligna da glândula tireóide";"16";"12";"12";"33";"112";"4149";"3185";"7519"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"0";"0";"0";"0";"0";"138";"264";"402"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"0";"0";"0";"0";"0";"74";"361";"435"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"0";"0";"0";"0";"0";"264";"8363";"8627"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"0";"0";"0";"0";"0";"6114";"3741";"9855"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"0";"0";"0";"0";"0";"1946";"1546";"3492"
"C79 - Neoplasia maligna secundária de outras localizações";"0";"0";"0";"0";"0";"883";"13364";"14247"
"C80 - Neoplasia maligna, sem especificação de localização";"0";"0";"0";"0";"0";"223";"25140";"25363"
"C81 - Doença de Hodgkin";"406";"224";"510";"408";"315";"89";"369";"2321"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"205";"117";"176";"250";"186";"19";"345";"1298"
"C83 - Linfoma não-Hodgkin difuso";"1012";"554";"695";"843";"900";"67";"708";"4779"
"C84 - Linfomas de células T cutâneas e periféricas";"63";"40";"52";"63";"74";"22";"391";"705"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"144";"131";"110";"120";"126";"59";"719";"1409"
"C88 - Doenças imunoproliferativas malignas";"0";"0";"0";"0";"0";"2";"4185";"4187"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"0";"0";"0";"0";"0";"11";"3437";"3448"
"C91 - Leucemia linfóide";"0";"0";"0";"0";"0";"10";"3336";"3346"
"C92 - Leucemia mielóide";"0";"0";"0";"0";"0";"7";"3793";"3800"
"C93 - Leucemia monocítica";"0";"0";"0";"0";"0";"0";"188";"188"
"C94 - Outras leucemias de células de tipo especificado";"0";"0";"0";"0";"0";"4";"138";"142"
"C95 - Leucemia de tipo celular não especificado";"0";"0";"0";"0";"0";"3";"306";"309"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"0";"0";"0";"0";"0";"12";"408";"420"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"0";"0";"0";"0";"1";"1307";"1308"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"0";"0";"0";"0";"0";"14";"960";"974"
"D01 - Carcinoma in situ de outros órgãos digestivos";"0";"0";"0";"0";"0";"43";"1146";"1189"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"0";"0";"0";"0";"0";"120";"140";"260"
"D03 - Melanoma in situ";"0";"0";"0";"0";"0";"39";"418";"457"
"D04 - Carcinoma in situ da pele";"0";"0";"0";"0";"0";"113";"12223";"12336"
"D05 - Carcinoma in situ da mama";"0";"0";"0";"0";"0";"1094";"1685";"2779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"0";"0";"0";"0";"0";"1981";"8538";"10519"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"0";"0";"0";"0";"0";"261";"1556";"1817"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"0";"0";"0";"0";"0";"373";"1456";"1829"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"0";"0";"0";"0";"0";"618";"5744";"6362"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"0";"0";"0";"0";"0";"316";"807";"1123"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"0";"0";"0";"0";"0";"2413";"3952";"6365"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"0";"0";"0";"0";"0";"843";"2556";"3399"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"0";"0";"0";"0";"0";"663";"327";"990"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"0";"0";"0";"0";"4";"52";"56"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"0";"0";"0";"0";"0";"1204";"3174";"4378"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"0";"0";"0";"0";"0";"2627";"1189";"3816"
"D45 - Policitemia vera";"0";"0";"0";"0";"0";"0";"465";"465"
"D46 - Síndromes mielodisplásicas";"0";"0";"0";"0";"0";"6";"1358";"1364"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"0";"0";"0";"0";"0";"18";"2955";"2973"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"0";"0";"0";"0";"0";"5308";"35202";"40510"
"Total";"7819";"16246";"31495";"45737";"43100";"123178";"296282";"563857"
