"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"65";"36";"66";"93";"152";"999";"831";"2242"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"60";"44";"65";"92";"214";"459";"1037";"1971"
"C43 - Melanoma maligno da pele";"37";"47";"47";"155";"545";"2454";"2426";"5711"
"C44 - Outras neoplasias malignas da pele";"211";"1029";"708";"596";"304";"16147";"43310";"62305"
"C45 - Mesotelioma";"0";"0";"0";"0";"0";"6";"36";"42"
"C46 - Sarcoma de Kaposi";"0";"0";"0";"0";"0";"10";"286";"296"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"0";"0";"0";"0";"0";"18";"92";"110"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"12";"8";"15";"34";"84";"900";"1105";"2158"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"122";"205";"321";"577";"956";"3772";"6846";"12799"
"C50 - Neoplasia maligna da mama";"1219";"7009";"10796";"14994";"6534";"7783";"11960";"60295"
"C51 - Neoplasia maligna da vulva";"17";"35";"54";"152";"100";"500";"453";"1311"
"C52 - Neoplasia maligna da vagina";"8";"18";"36";"44";"24";"194";"287";"611"
"C53 - Neoplasia maligna do colo do útero";"341";"1021";"2715";"4127";"2443";"4703";"5594";"20944"
"C54 - Neoplasia maligna do corpo do útero";"88";"719";"440";"707";"831";"2941";"2193";"7919"
"C55 - Neoplasia maligna do útero, porção não especificada";"0";"0";"0";"0";"0";"531";"445";"976"
"C56 - Neoplasia maligna do ovário";"82";"282";"189";"817";"895";"2917";"2181";"7363"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"1";"4";"3";"14";"16";"443";"852";"1333"
"C58 - Neoplasia maligna da placenta";"0";"0";"0";"0";"0";"3";"244";"247"
"C60 - Neoplasia maligna do pênis";"7";"6";"8";"57";"97";"585";"354";"1114"
"C61 - Neoplasia maligna da próstata";"1582";"2836";"7928";"6584";"7286";"7724";"9345";"43285"
"C62 - Neoplasia maligna dos testículos";"22";"148";"139";"207";"146";"1206";"175";"2043"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"0";"0";"0";"0";"0";"17";"252";"269"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"65";"59";"73";"77";"372";"2707";"1549";"4902"
"C65 - Neoplasia maligna da pelve renal";"1";"2";"4";"14";"45";"283";"162";"511"
"C66 - Neoplasia maligna dos ureteres";"0";"1";"1";"9";"22";"89";"95";"217"
"C67 - Neoplasia maligna da bexiga";"132";"478";"205";"254";"222";"5419";"1258";"7968"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"0";"1";"2";"7";"13";"6";"47";"76"
"C69 - Neoplasia maligna do olho e anexos";"3";"56";"14";"16";"4";"448";"710";"1251"
"C70 - Neoplasia maligna das meninges";"0";"0";"0";"0";"0";"65";"158";"223"
"C71 - Neoplasia maligna do encéfalo";"0";"0";"0";"0";"0";"1279";"3764";"5043"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"0";"0";"0";"0";"0";"230";"1008";"1238"
"C73 - Neoplasia maligna da glândula tireóide";"8";"8";"7";"39";"83";"4466";"4733";"9344"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"0";"0";"0";"0";"0";"183";"294";"477"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"0";"0";"0";"0";"0";"109";"287";"396"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"0";"0";"0";"0";"0";"391";"6621";"7012"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"0";"0";"0";"0";"0";"6308";"3457";"9765"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"0";"0";"0";"0";"0";"1885";"1532";"3417"
"C79 - Neoplasia maligna secundária de outras localizações";"0";"0";"0";"0";"0";"866";"14322";"15188"
"C80 - Neoplasia maligna, sem especificação de localização";"0";"0";"0";"0";"0";"224";"21211";"21435"
"C81 - Doença de Hodgkin";"452";"188";"430";"387";"418";"89";"293";"2257"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"218";"108";"156";"210";"228";"19";"215";"1154"
"C83 - Linfoma não-Hodgkin difuso";"904";"510";"626";"800";"1005";"68";"605";"4518"
"C84 - Linfomas de células T cutâneas e periféricas";"86";"56";"59";"71";"87";"17";"304";"680"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"152";"139";"112";"175";"201";"78";"802";"1659"
"C88 - Doenças imunoproliferativas malignas";"0";"0";"0";"0";"0";"6";"6103";"6109"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"0";"0";"0";"0";"0";"12";"4582";"4594"
"C91 - Leucemia linfóide";"0";"0";"0";"0";"0";"16";"3446";"3462"
"C92 - Leucemia mielóide";"0";"0";"0";"0";"0";"7";"3623";"3630"
"C93 - Leucemia monocítica";"0";"0";"0";"0";"0";"0";"127";"127"
"C94 - Outras leucemias de células de tipo especificado";"0";"0";"0";"0";"0";"2";"142";"144"
"C95 - Leucemia de tipo celular não especificado";"0";"0";"0";"0";"0";"3";"159";"162"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"0";"0";"0";"0";"0";"11";"451";"462"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"0";"0";"0";"0";"1";"49";"50"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"0";"0";"0";"0";"0";"16";"2775";"2791"
"D01 - Carcinoma in situ de outros órgãos digestivos";"0";"0";"0";"0";"0";"45";"1884";"1929"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"0";"0";"0";"0";"0";"92";"229";"321"
"D03 - Melanoma in situ";"0";"0";"0";"0";"0";"34";"1417";"1451"
"D04 - Carcinoma in situ da pele";"0";"0";"0";"0";"0";"92";"17930";"18022"
"D05 - Carcinoma in situ da mama";"0";"0";"0";"0";"0";"849";"1927";"2776"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"0";"0";"0";"0";"0";"2141";"7380";"9521"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"0";"0";"0";"0";"0";"236";"3389";"3625"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"0";"0";"0";"0";"0";"335";"3106";"3441"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"0";"0";"0";"0";"0";"611";"10220";"10831"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"0";"0";"0";"0";"0";"332";"1171";"1503"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"0";"0";"0";"0";"0";"2587";"3658";"6245"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"0";"0";"0";"0";"0";"866";"4744";"5610"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"0";"0";"0";"0";"0";"722";"497";"1219"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"0";"0";"0";"0";"7";"128";"135"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"0";"0";"0";"0";"0";"1416";"2515";"3931"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"0";"0";"0";"0";"0";"2639";"1773";"4412"
"D45 - Policitemia vera";"0";"0";"0";"0";"0";"0";"491";"491"
"D46 - Síndromes mielodisplásicas";"0";"0";"0";"0";"0";"2";"1261";"1263"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"0";"0";"0";"0";"0";"24";"5481";"5505"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"0";"0";"0";"0";"0";"5183";"58128";"63311"
"Total";"7461";"17546";"32770";"51076";"48516";"121758";"351784";"630911"
