"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"8";"13";"20";"34";"75";"895";"1007";"2052"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"146";"209";"341";"600";"900";"3644";"4951";"10791"
"C50 - Neoplasia maligna da mama";"1257";"6104";"10245";"14195";"5738";"6993";"11669";"56201"
"C51 - Neoplasia maligna da vulva";"24";"42";"50";"167";"109";"466";"456";"1314"
"C52 - Neoplasia maligna da vagina";"14";"26";"32";"64";"35";"152";"298";"621"
"C53 - Neoplasia maligna do colo do útero";"427";"1029";"2747";"4075";"2321";"4287";"4967";"19853"
"C54 - Neoplasia maligna do corpo do útero";"104";"742";"443";"708";"758";"2760";"2078";"7593"
"C55 - Neoplasia maligna do útero, porção não especificada";"0";"0";"0";"0";"0";"501";"434";"935"
"C56 - Neoplasia maligna do ovário";"68";"271";"213";"837";"955";"3101";"1896";"7341"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"2";"8";"5";"20";"18";"369";"806";"1228"
"C58 - Neoplasia maligna da placenta";"0";"0";"0";"0";"0";"1";"262";"263"
"C60 - Neoplasia maligna do pênis";"5";"13";"11";"54";"80";"581";"340";"1084"
"C61 - Neoplasia maligna da próstata";"1320";"2125";"6724";"5548";"6827";"6877";"7992";"37413"
"C62 - Neoplasia maligna dos testículos";"20";"158";"120";"198";"133";"1123";"152";"1904"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"0";"0";"0";"0";"0";"12";"85";"97"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"67";"73";"50";"73";"335";"2291";"1369";"4258"
"C65 - Neoplasia maligna da pelve renal";"1";"3";"5";"10";"53";"273";"150";"495"
"C66 - Neoplasia maligna dos ureteres";"4";"0";"1";"9";"14";"81";"85";"194"
"C67 - Neoplasia maligna da bexiga";"142";"519";"196";"263";"236";"5005";"1149";"7510"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"1";"2";"1";"8";"14";"6";"42";"74"
"C69 - Neoplasia maligna do olho e anexos";"7";"37";"15";"10";"8";"467";"743";"1287"
"C70 - Neoplasia maligna das meninges";"0";"0";"0";"0";"0";"46";"199";"245"
"C71 - Neoplasia maligna do encéfalo";"0";"0";"0";"0";"0";"1308";"3903";"5211"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"0";"0";"0";"0";"0";"224";"1107";"1331"
"C73 - Neoplasia maligna da glândula tireóide";"6";"9";"12";"47";"100";"4033";"3754";"7961"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"0";"0";"0";"0";"0";"150";"311";"461"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"0";"0";"0";"0";"0";"77";"296";"373"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"0";"0";"0";"0";"0";"335";"6814";"7149"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"0";"0";"0";"0";"0";"5957";"3919";"9876"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"0";"0";"0";"0";"0";"1803";"1446";"3249"
"C79 - Neoplasia maligna secundária de outras localizações";"0";"0";"0";"0";"0";"844";"14513";"15357"
"C80 - Neoplasia maligna, sem especificação de localização";"0";"0";"0";"0";"0";"146";"16904";"17050"
"C81 - Doença de Hodgkin";"465";"210";"403";"414";"375";"97";"290";"2254"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"216";"113";"134";"239";"257";"22";"211";"1192"
"C83 - Linfoma não-Hodgkin difuso";"1013";"530";"593";"815";"1016";"63";"506";"4536"
"C84 - Linfomas de células T cutâneas e periféricas";"101";"40";"42";"76";"75";"19";"320";"673"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"133";"116";"86";"124";"179";"56";"729";"1423"
"C88 - Doenças imunoproliferativas malignas";"0";"0";"0";"0";"0";"3";"5759";"5762"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"0";"0";"0";"0";"0";"12";"3840";"3852"
"C91 - Leucemia linfóide";"0";"0";"0";"0";"0";"12";"3371";"3383"
"C92 - Leucemia mielóide";"0";"0";"0";"0";"0";"8";"3611";"3619"
"C93 - Leucemia monocítica";"0";"0";"0";"0";"0";"0";"118";"118"
"C94 - Outras leucemias de células de tipo especificado";"0";"0";"0";"0";"0";"8";"223";"231"
"C95 - Leucemia de tipo celular não especificado";"0";"0";"0";"0";"0";"1";"262";"263"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"0";"0";"0";"0";"0";"8";"443";"451"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"0";"0";"0";"0";"0";"1";"36";"37"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"0";"0";"0";"0";"0";"9";"2216";"2225"
"D01 - Carcinoma in situ de outros órgãos digestivos";"0";"0";"0";"0";"0";"47";"2164";"2211"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"0";"0";"0";"0";"0";"107";"314";"421"
"D03 - Melanoma in situ";"0";"0";"0";"0";"0";"36";"342";"378"
"D04 - Carcinoma in situ da pele";"0";"0";"0";"0";"0";"113";"14604";"14717"
"D05 - Carcinoma in situ da mama";"0";"0";"0";"0";"0";"773";"1485";"2258"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"0";"0";"0";"0";"0";"1737";"6496";"8233"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"0";"0";"0";"0";"0";"176";"3081";"3257"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"0";"0";"0";"0";"0";"238";"2924";"3162"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"0";"0";"0";"0";"0";"564";"6821";"7385"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"0";"0";"0";"0";"0";"317";"1084";"1401"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"0";"0";"0";"0";"0";"2329";"3457";"5786"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"0";"0";"0";"0";"0";"712";"3948";"4660"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"0";"0";"0";"0";"0";"702";"531";"1233"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"0";"0";"0";"0";"0";"4";"84";"88"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"0";"0";"0";"0";"0";"1382";"4192";"5574"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"0";"0";"0";"0";"0";"1769";"1296";"3065"
"D45 - Policitemia vera";"0";"0";"0";"0";"0";"1";"496";"497"
"D46 - Síndromes mielodisplásicas";"0";"0";"0";"0";"0";"9";"1152";"1161"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"0";"0";"0";"0";"0";"25";"3087";"3112"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"0";"0";"0";"0";"0";"4573";"49266";"53839"
"Total";"7713";"15833";"30714";"48758";"47367";"110058";"310274";"570717"
