"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"30";"90";"120"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"1381";"2544";"3925"
"D01 - Carcinoma in situ de outros órgãos digestivos";"1396";"2066";"3462"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"211";"153";"364"
"D03 - Melanoma in situ";"841";"1235";"2076"
"D04 - Carcinoma in situ da pele";"7881";"11332";"19213"
"D05 - Carcinoma in situ da mama";"202";"2783";"2985"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"13";"11491";"11504"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"2235";"1563";"3798"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"1937";"2909";"4846"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"4707";"7657";"12364"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"835";"650";"1485"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"6";"7497";"7503"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"5231";"42";"5273"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"729";"572";"1301"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"20";"40";"60"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"2190";"2551";"4741"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"1000";"4461";"5461"
"D45 - Policitemia vera";"306";"261";"567"
"D46 - Síndromes mielodisplásicas";"731";"749";"1480"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"2830";"3557";"6387"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"23066";"45397";"68463"
"Total";"278836";"386498";"665334"
