"Diagnóstico Detalhado";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";"Ignorado";" Total"
"C17 - Neoplasia maligna do intestino delgado";"79";"54";"47";"60";"93";"116";"121";"165";"226";"281";"231";"183";"111";"94";"0";"1861"
"C18 - Neoplasia maligna do cólon";"811";"389";"426";"462";"735";"1053";"1423";"2030";"2741";"3087";"3129";"2498";"1674";"1309";"0";"21767"
"C19 - Neoplasia maligna da junção retossigmóide";"6";"11";"21";"24";"39";"97";"156";"218";"335";"334";"349";"281";"161";"122";"0";"2154"
"C20 - Neoplasia maligna do reto";"16";"32";"86";"163";"285";"506";"686";"1070";"1508";"1643";"1578";"1214";"826";"771";"0";"10384"
"C21 - Neoplasia maligna do ânus e do canal anal";"7";"9";"21";"48";"63";"122";"158";"224";"326";"315";"272";"224";"157";"132";"0";"2078"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"94";"30";"36";"47";"96";"148";"175";"329";"471";"545";"547";"384";"251";"138";"0";"3291"
"C23 - Neoplasia maligna da vesícula biliar";"13";"18";"27";"42";"49";"61";"96";"123";"162";"153";"162";"111";"88";"55";"0";"1160"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"4";"3";"6";"16";"21";"49";"66";"126";"191";"219";"206";"135";"96";"57";"0";"1195"
"C25 - Neoplasia maligna do pâncreas";"20";"24";"29";"44";"89";"168";"269";"415";"632";"720";"736";"537";"329";"208";"0";"4220"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"40";"26";"30";"29";"28";"43";"58";"81";"106";"122";"96";"78";"40";"38";"0";"815"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"15";"6";"14";"20";"16";"24";"29";"22";"35";"44";"40";"37";"26";"37";"0";"365"
"C31 - Neoplasia maligna dos seios da face";"29";"13";"21";"26";"31";"38";"48";"76";"103";"91";"109";"105";"52";"66";"0";"808"
"C32 - Neoplasia maligna da laringe";"17";"6";"11";"19";"67";"148";"309";"585";"886";"1110";"914";"679";"342";"265";"0";"5358"
"C33 - Neoplasia maligna da traquéia";"3";"3";"1";"2";"2";"3";"3";"6";"5";"9";"8";"5";"4";"3";"0";"57"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"97";"61";"77";"114";"179";"301";"530";"1071";"1785";"2445";"2336";"1835";"1114";"755";"0";"12700"
"C37 - Neoplasia maligna do timo";"5";"4";"5";"9";"4";"8";"15";"18";"19";"20";"19";"12";"4";"3";"0";"145"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"68";"49";"59";"58";"58";"73";"79";"109";"179";"160";"141";"130";"66";"46";"0";"1275"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"7";"1";"3";"3";"5";"5";"7";"8";"16";"25";"20";"11";"13";"8";"0";"132"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"486";"118";"97";"98";"124";"101";"140";"143";"189";"191";"173";"128";"75";"75";"0";"2138"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"243";"56";"70";"69";"87";"97";"121";"161";"182";"190";"180";"133";"84";"84";"0";"1757"
"C43 - Melanoma maligno da pele";"60";"49";"93";"116";"178";"268";"321";"448";"567";"653";"629";"590";"450";"580";"0";"5002"
"C44 - Outras neoplasias malignas da pele";"453";"322";"486";"642";"1048";"1533";"2280";"3396";"4800";"5659";"6418";"6362";"5490";"8294";"0";"47183"
"C45 - Mesotelioma";"0";"0";"0";"1";"3";"1";"5";"1";"9";"8";"6";"8";"1";"3";"0";"46"
"C46 - Sarcoma de Kaposi";"11";"15";"30";"26";"36";"23";"26";"20";"25";"10";"10";"16";"12";"16";"0";"276"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"41";"2";"2";"3";"6";"4";"7";"8";"7";"6";"6";"5";"3";"5";"0";"105"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"105";"42";"42";"68";"79";"109";"134";"157";"208";"214";"202";"154";"113";"58";"0";"1685"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"468";"182";"261";"284";"385";"504";"684";"896";"1018";"1048";"1042";"990";"842";"1196";"1";"9801"
"C50 - Neoplasia maligna da mama";"211";"353";"702";"1676";"3230";"4856";"6100";"6516";"6546";"5949";"4911";"3539";"2252";"2314";"0";"49155"
"C51 - Neoplasia maligna da vulva";"8";"12";"23";"30";"52";"60";"82";"95";"96";"146";"142";"151";"113";"170";"0";"1180"
"C52 - Neoplasia maligna da vagina";"6";"1";"8";"24";"29";"34";"53";"54";"64";"85";"66";"52";"33";"42";"0";"551"
"C53 - Neoplasia maligna do colo do útero";"32";"278";"927";"1617";"2313";"2485";"2159";"1908";"1783";"1448";"1259";"866";"535";"432";"0";"18042"
"C54 - Neoplasia maligna do corpo do útero";"11";"28";"51";"120";"225";"323";"461";"678";"995";"1113";"1013";"696";"359";"283";"0";"6356"
"C55 - Neoplasia maligna do útero, porção não especificada";"2";"6";"22";"45";"80";"94";"107";"83";"111";"122";"92";"67";"37";"22";"0";"890"
"C56 - Neoplasia maligna do ovário";"223";"189";"216";"260";"409";"557";"701";"815";"870";"778";"689";"446";"238";"185";"0";"6576"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"38";"69";"122";"124";"134";"131";"124";"101";"89";"93";"79";"40";"26";"22";"0";"1192"
"C58 - Neoplasia maligna da placenta";"35";"59";"49";"37";"45";"32";"23";"8";"3";"6";"4";"3";"0";"4";"0";"308"
"C60 - Neoplasia maligna do pênis";"5";"7";"15";"33";"37";"58";"69";"113";"130";"138";"114";"125";"96";"101";"0";"1041"
"C61 - Neoplasia maligna da próstata";"14";"11";"6";"9";"26";"79";"356";"1272";"3237";"5642";"7564";"7045";"4652";"3149";"0";"33062"
"C62 - Neoplasia maligna dos testículos";"191";"270";"344";"296";"223";"157";"81";"50";"49";"40";"42";"55";"41";"30";"0";"1869"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"6";"3";"5";"1";"3";"6";"3";"5";"13";"20";"20";"17";"12";"7";"0";"121"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"246";"21";"43";"62";"122";"187";"296";"475";"528";"642";"568";"456";"296";"149";"0";"4091"
"C65 - Neoplasia maligna da pelve renal";"13";"1";"3";"7";"12";"10";"32";"41";"58";"88";"74";"72";"50";"31";"0";"492"
"C66 - Neoplasia maligna dos ureteres";"4";"0";"1";"5";"3";"3";"7";"8";"23";"33";"36";"44";"24";"18";"0";"209"
"C67 - Neoplasia maligna da bexiga";"26";"12";"22";"39";"68";"125";"191";"382";"619";"1044";"1264";"1231";"938";"1063";"0";"7024"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"4";"4";"0";"2";"2";"3";"2";"4";"9";"12";"11";"13";"11";"6";"0";"83"
"C69 - Neoplasia maligna do olho e anexos";"145";"13";"18";"28";"41";"58";"67";"79";"92";"115";"122";"108";"58";"93";"0";"1037"
"C70 - Neoplasia maligna das meninges";"11";"4";"10";"8";"5";"23";"34";"16";"29";"39";"17";"17";"10";"4";"0";"227"
"C71 - Neoplasia maligna do encéfalo";"676";"127";"172";"250";"271";"309";"401";"495";"599";"593";"506";"315";"190";"77";"0";"4981"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"186";"54";"48";"60";"69";"97";"92";"127";"172";"146";"136";"83";"51";"32";"0";"1353"
"C73 - Neoplasia maligna da glândula tireóide";"115";"179";"374";"476";"599";"721";"756";"776";"738";"644";"521";"296";"198";"139";"0";"6532"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"194";"5";"13";"7";"17";"12";"22";"28";"24";"37";"30";"16";"7";"8";"0";"420"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"29";"16";"7";"23";"25";"24";"38";"44";"38";"40";"32";"19";"16";"11";"0";"362"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"353";"119";"146";"209";"290";"376";"469";"681";"809";"905";"912";"678";"443";"416";"0";"6806"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"392";"247";"285";"367";"499";"605";"710";"987";"1195";"1298";"1095";"844";"557";"532";"0";"9613"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"142";"43";"80";"102";"148";"182";"215";"334";"441";"528";"454";"347";"203";"99";"0";"3318"
"C79 - Neoplasia maligna secundária de outras localizações";"213";"133";"221";"412";"599";"886";"1190";"1618";"2075";"2320";"2146";"1577";"964";"740";"0";"15094"
"C80 - Neoplasia maligna, sem especificação de localização";"685";"711";"816";"900";"1104";"1248";"1498";"1860";"2198";"2525";"2278";"1907";"1210";"1149";"0";"20089"
"C81 - Doença de Hodgkin";"458";"346";"270";"247";"187";"125";"118";"96";"108";"92";"87";"58";"32";"27";"0";"2251"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"16";"10";"19";"32";"31";"64";"110";"101";"178";"176";"157";"122";"84";"69";"0";"1169"
"C83 - Linfoma não-Hodgkin difuso";"324";"158";"170";"209";"222";"246";"305";"358";"489";"490";"491";"420";"303";"279";"0";"4464"
"C84 - Linfomas de células T cutâneas e periféricas";"35";"25";"30";"37";"41";"44";"49";"52";"81";"72";"55";"47";"42";"28";"0";"638"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"70";"52";"46";"49";"60";"75";"92";"127";"171";"174";"164";"139";"91";"72";"0";"1382"
"C88 - Doenças imunoproliferativas malignas";"269";"215";"284";"305";"321";"311";"294";"277";"234";"263";"214";"141";"81";"70";"0";"3279"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"17";"7";"19";"23";"55";"112";"191";"345";"455";"609";"570";"450";"307";"239";"0";"3399"
"C91 - Leucemia linfóide";"1366";"110";"72";"65";"74";"85";"115";"137";"170";"202";"202";"179";"128";"140";"2";"3047"
"C92 - Leucemia mielóide";"414";"148";"180";"197";"213";"218";"242";"275";"330";"321";"265";"253";"143";"140";"1";"3340"
"C93 - Leucemia monocítica";"9";"2";"3";"3";"5";"5";"1";"1";"5";"2";"4";"2";"3";"0";"0";"45"
"C94 - Outras leucemias de células de tipo especificado";"8";"6";"7";"5";"4";"5";"8";"11";"22";"23";"21";"16";"5";"13";"0";"154"
"C95 - Leucemia de tipo celular não especificado";"58";"12";"11";"8";"16";"9";"12";"20";"23";"18";"27";"14";"12";"7";"0";"247"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"118";"17";"12";"18";"18";"7";"24";"32";"27";"38";"33";"28";"18";"14";"0";"404"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"3";"10";"10";"17";"23";"32";"63";"60";"68";"96";"86";"69";"27";"29";"0";"593"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"16";"15";"27";"33";"58";"102";"107";"152";"218";"166";"145";"114";"76";"59";"0";"1288"
"D01 - Carcinoma in situ de outros órgãos digestivos";"24";"17";"37";"42";"54";"89";"118";"153";"198";"242";"210";"161";"101";"75";"0";"1521"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"9";"2";"5";"5";"6";"7";"15";"16";"43";"48";"47";"29";"23";"7";"0";"262"
"D03 - Melanoma in situ";"14";"25";"18";"15";"26";"16";"19";"25";"33";"29";"33";"42";"14";"29";"0";"338"
"D04 - Carcinoma in situ da pele";"412";"257";"292";"392";"511";"599";"732";"981";"1161";"1231";"1239";"1098";"879";"1087";"0";"10871"
"D05 - Carcinoma in situ da mama";"34";"43";"41";"80";"162";"222";"263";"297";"267";"251";"221";"116";"81";"54";"0";"2132"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"63";"463";"954";"1431";"1357";"1107";"719";"494";"385";"277";"186";"94";"51";"30";"0";"7611"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"8";"28";"40";"48";"69";"109";"128";"154";"236";"296";"315";"269";"155";"100";"0";"1955"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"33";"41";"58";"82";"118";"111";"132";"182";"192";"216";"222";"182";"147";"156";"0";"1872"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"193";"254";"299";"398";"504";"604";"565";"727";"759";"824";"631";"442";"303";"247";"0";"6750"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"26";"16";"17";"22";"24";"32";"59";"93";"155";"188";"173";"131";"70";"61";"0";"1067"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"261";"362";"371";"502";"615";"619";"544";"476";"336";"269";"195";"130";"63";"58";"0";"4801"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"84";"47";"57";"37";"45";"34";"54";"169";"365";"608";"818";"679";"373";"189";"0";"3559"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"23";"14";"8";"15";"40";"28";"54";"71";"123";"140";"145";"114";"85";"62";"0";"922"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"1";"0";"4";"2";"4";"13";"5";"9";"6";"5";"12";"3";"5";"2";"0";"71"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"312";"174";"199";"229";"284";"307";"357";"427";"445";"512";"427";"308";"166";"146";"0";"4293"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"65";"61";"109";"144";"197";"246";"286";"303";"295";"294";"229";"141";"95";"44";"0";"2509"
"D45 - Policitemia vera";"1";"1";"3";"5";"13";"17";"26";"40";"54";"55";"69";"60";"42";"46";"0";"432"
"D46 - Síndromes mielodisplásicas";"77";"23";"17";"17";"31";"33";"44";"60";"103";"126";"149";"151";"102";"144";"0";"1077"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"55";"51";"57";"87";"119";"140";"189";"249";"296";"363";"372";"313";"213";"237";"0";"2741"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"1878";"1246";"1632";"2056";"2804";"3303";"3808";"4219";"4733";"4733";"4446";"3442";"2230";"2274";"0";"42804"
"Total";"14757";"9215";"12759";"17496";"24158";"30692";"37522";"47910";"59980";"66561";"64775";"52487";"35637";"34684";"4";"508637"
