"Diagnóstico Detalhado";"Jan/2019";"Fev/2019";"Mar/2019";"Abr/2019";"Mai/2019";"Jun/2019";"Jul/2019";"Ago/2019";"Set/2019";"Out/2019";"Nov/2019";"Dez/2019";" Total"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"102";"84";"89";"103";"92";"96";"109";"89";"106";"88";"79";"106";"1143"
"C25 - Neoplasia maligna do pâncreas";"403";"298";"306";"325";"409";"342";"363";"324";"353";"376";"321";"302";"4122"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"41";"33";"44";"42";"85";"87";"69";"129";"134";"258";"87";"58";"1067"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"38";"22";"26";"39";"32";"36";"41";"47";"39";"41";"38";"30";"429"
"C31 - Neoplasia maligna dos seios da face";"79";"57";"59";"58";"83";"59";"72";"83";"122";"78";"72";"55";"877"
"C32 - Neoplasia maligna da laringe";"453";"483";"402";"471";"465";"434";"516";"475";"486";"534";"490";"423";"5632"
"C33 - Neoplasia maligna da traquéia";"5";"6";"4";"7";"88";"54";"5";"5";"6";"7";"1";"7";"195"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1063";"1020";"952";"1104";"1168";"998";"1168";"1160";"1260";"1259";"1089";"957";"13198"
"C37 - Neoplasia maligna do timo";"6";"12";"11";"13";"12";"9";"13";"15";"14";"13";"11";"12";"141"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"92";"80";"84";"87";"212";"153";"135";"122";"129";"123";"110";"92";"1419"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"9";"12";"8";"11";"12";"18";"23";"10";"18";"6";"15";"6";"148"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"207";"239";"202";"224";"325";"300";"301";"282";"249";"260";"246";"182";"3017"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"143";"151";"121";"128";"163";"170";"191";"168";"199";"190";"183";"149";"1956"
"C43 - Melanoma maligno da pele";"363";"393";"422";"470";"771";"505";"486";"573";"507";"490";"440";"437";"5857"
"C44 - Outras neoplasias malignas da pele";"3342";"3523";"3588";"4261";"6144";"5650";"6402";"6242";"6090";"6406";"6064";"5331";"63043"
"C45 - Mesotelioma";"5";"2";"4";"2";"3";"2";"4";"7";"2";"4";"1";"6";"42"
"C46 - Sarcoma de Kaposi";"17";"19";"22";"19";"24";"18";"13";"22";"12";"25";"21";"24";"236"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"11";"6";"8";"7";"8";"10";"15";"12";"9";"13";"7";"6";"112"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"152";"131";"124";"123";"199";"184";"188";"247";"213";"221";"193";"142";"2117"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"1041";"1012";"903";"985";"1165";"1002";"1108";"1059";"1045";"1130";"1009";"873";"12332"
"C50 - Neoplasia maligna da mama";"4151";"3898";"3533";"4172";"4442";"4346";"4895";"4877";"4741";"5076";"4731";"4298";"53160"
"C51 - Neoplasia maligna da vulva";"81";"91";"58";"91";"101";"118";"119";"122";"114";"132";"97";"100";"1224"
"C52 - Neoplasia maligna da vagina";"47";"43";"27";"27";"50";"46";"92";"153";"70";"72";"59";"36";"722"
"C53 - Neoplasia maligna do colo do útero";"1381";"1341";"1270";"1478";"1551";"1383";"1656";"1674";"1662";"1640";"1668";"1471";"18175"
"C54 - Neoplasia maligna do corpo do útero";"428";"467";"458";"552";"558";"535";"608";"607";"622";"619";"621";"560";"6635"
"C55 - Neoplasia maligna do útero, porção não especificada";"72";"47";"60";"75";"164";"115";"110";"104";"110";"88";"67";"70";"1082"
"C56 - Neoplasia maligna do ovário";"544";"563";"480";"553";"566";"525";"595";"558";"573";"596";"539";"523";"6615"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"119";"175";"137";"139";"134";"166";"196";"206";"215";"217";"141";"89";"1934"
"C58 - Neoplasia maligna da placenta";"21";"28";"25";"17";"14";"23";"27";"30";"21";"21";"17";"16";"260"
"C60 - Neoplasia maligna do pênis";"86";"82";"79";"74";"74";"98";"91";"102";"101";"96";"99";"69";"1051"
"C61 - Neoplasia maligna da próstata";"3519";"3449";"2945";"3441";"3838";"3567";"4240";"3828";"3592";"4059";"3655";"3374";"43507"
"C62 - Neoplasia maligna dos testículos";"162";"138";"113";"156";"159";"155";"177";"174";"176";"190";"169";"145";"1914"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"6";"2";"2";"3";"5";"56";"140";"110";"88";"46";"15";"13";"486"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"348";"329";"325";"350";"498";"324";"406";"395";"420";"455";"387";"317";"4554"
"C65 - Neoplasia maligna da pelve renal";"31";"38";"40";"45";"134";"41";"47";"35";"35";"46";"33";"34";"559"
"C66 - Neoplasia maligna dos ureteres";"11";"20";"13";"10";"21";"13";"22";"23";"65";"14";"20";"19";"251"
"C67 - Neoplasia maligna da bexiga";"647";"570";"512";"621";"776";"652";"702";"711";"711";"787";"649";"558";"7896"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"0";"3";"4";"7";"5";"3";"14";"9";"8";"10";"8";"7";"78"
"C69 - Neoplasia maligna do olho e anexos";"52";"68";"64";"64";"76";"94";"102";"96";"91";"87";"86";"92";"972"
"C70 - Neoplasia maligna das meninges";"17";"17";"14";"13";"30";"12";"17";"21";"19";"22";"16";"23";"221"
"C71 - Neoplasia maligna do encéfalo";"516";"384";"374";"393";"461";"377";"453";"479";"483";"485";"400";"391";"5196"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"96";"97";"95";"81";"99";"91";"112";"95";"108";"119";"83";"79";"1155"
"C73 - Neoplasia maligna da glândula tireóide";"544";"505";"514";"610";"703";"623";"619";"587";"698";"845";"679";"592";"7519"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"31";"30";"30";"32";"26";"37";"40";"42";"36";"42";"26";"30";"402"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"23";"21";"20";"32";"114";"76";"22";"28";"31";"28";"19";"21";"435"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"101";"125";"150";"350";"519";"461";"973";"1032";"885";"1473";"1421";"1137";"8627"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"687";"682";"671";"697";"794";"786";"997";"919";"928";"1053";"859";"782";"9855"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"256";"252";"245";"266";"340";"293";"320";"299";"305";"335";"324";"257";"3492"
"C79 - Neoplasia maligna secundária de outras localizações";"1049";"1018";"992";"1176";"1281";"1044";"1288";"1259";"1363";"1384";"1206";"1187";"14247"
"C80 - Neoplasia maligna, sem especificação de localização";"717";"732";"807";"1364";"2004";"2894";"3024";"2840";"2723";"3450";"2625";"2183";"25363"
"C81 - Doença de Hodgkin";"187";"159";"150";"173";"260";"212";"214";"190";"198";"219";"190";"169";"2321"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"74";"80";"76";"111";"196";"155";"98";"117";"101";"112";"101";"77";"1298"
"C83 - Linfoma não-Hodgkin difuso";"426";"369";"331";"364";"556";"315";"420";"393";"392";"461";"376";"376";"4779"
"C84 - Linfomas de células T cutâneas e periféricas";"51";"35";"38";"37";"56";"62";"116";"73";"52";"62";"71";"52";"705"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"107";"112";"85";"116";"148";"102";"129";"130";"114";"137";"113";"116";"1409"
"C88 - Doenças imunoproliferativas malignas";"20";"18";"14";"167";"935";"608";"587";"614";"433";"284";"269";"238";"4187"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"297";"278";"270";"265";"267";"265";"296";"356";"294";"307";"295";"258";"3448"
"C91 - Leucemia linfóide";"260";"251";"227";"281";"410";"305";"258";"333";"252";"247";"247";"275";"3346"
"C92 - Leucemia mielóide";"290";"316";"293";"320";"385";"320";"288";"325";"304";"370";"266";"323";"3800"
"C93 - Leucemia monocítica";"4";"2";"6";"5";"82";"62";"3";"3";"3";"5";"4";"9";"188"
"C94 - Outras leucemias de células de tipo especificado";"4";"4";"10";"14";"10";"10";"19";"17";"15";"11";"18";"10";"142"
"C95 - Leucemia de tipo celular não especificado";"20";"25";"25";"24";"22";"23";"27";"61";"13";"22";"16";"31";"309"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"24";"37";"21";"26";"35";"30";"37";"41";"38";"53";"43";"35";"420"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"1";"2";"1";"12";"191";"90";"180";"195";"159";"171";"173";"133";"1308"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"9";"16";"8";"25";"104";"51";"137";"150";"109";"126";"126";"113";"974"
"D01 - Carcinoma in situ de outros órgãos digestivos";"37";"32";"58";"54";"115";"106";"124";"164";"142";"159";"99";"99";"1189"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"10";"11";"15";"22";"17";"24";"16";"35";"31";"30";"25";"24";"260"
"D03 - Melanoma in situ";"12";"16";"17";"21";"28";"59";"60";"51";"46";"34";"52";"61";"457"
"D04 - Carcinoma in situ da pele";"366";"429";"388";"951";"1069";"1389";"1375";"1380";"1432";"1387";"1156";"1014";"12336"
"D05 - Carcinoma in situ da mama";"147";"220";"187";"376";"234";"203";"243";"242";"242";"225";"258";"202";"2779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"712";"691";"655";"716";"998";"932";"1075";"1084";"918";"966";"893";"879";"10519"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"72";"116";"68";"67";"147";"153";"215";"189";"216";"225";"169";"180";"1817"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"57";"55";"88";"133";"152";"129";"218";"139";"371";"175";"168";"144";"1829"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"149";"152";"122";"169";"741";"505";"771";"855";"711";"753";"760";"674";"6362"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"75";"77";"77";"95";"92";"75";"114";"91";"106";"115";"110";"96";"1123"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"526";"493";"433";"487";"605";"490";"534";"718";"581";"628";"464";"406";"6365"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"185";"184";"192";"168";"254";"280";"363";"295";"428";"436";"368";"246";"3399"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"90";"62";"70";"61";"96";"87";"73";"95";"85";"102";"90";"79";"990"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"3";"0";"4";"6";"5";"4";"8";"3";"7";"9";"3";"4";"56"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"281";"268";"270";"263";"263";"219";"384";"501";"466";"591";"536";"336";"4378"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"262";"233";"232";"265";"351";"317";"366";"382";"329";"436";"406";"237";"3816"
"D45 - Policitemia vera";"43";"28";"34";"33";"38";"28";"53";"50";"39";"44";"26";"49";"465"
"D46 - Síndromes mielodisplásicas";"73";"86";"87";"99";"107";"111";"160";"129";"105";"146";"155";"106";"1364"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"144";"143";"137";"271";"718";"271";"290";"197";"209";"225";"189";"179";"2973"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"1639";"1717";"1595";"1885";"2917";"3866";"4297";"4712";"4555";"5293";"4216";"3818";"40510"
"Total";"36410";"35310";"33384";"40012";"51444";"48096";"55185";"54805";"53648";"58507";"51280";"45776";"563857"
