"Diagnóstico Detalhado";"Jan/2020";"Fev/2020";"Mar/2020";"Abr/2020";"Mai/2020";"Jun/2020";"Jul/2020";"Ago/2020";"Set/2020";"Out/2020";"Nov/2020";"Dez/2020";" Total"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1244";"1076";"1088";"825";"963";"962";"1086";"1068";"1117";"1132";"1129";"1010";"12700"
"C37 - Neoplasia maligna do timo";"14";"6";"9";"10";"10";"11";"12";"19";"9";"15";"16";"14";"145"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"113";"96";"95";"83";"96";"87";"123";"106";"130";"137";"104";"105";"1275"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"10";"10";"12";"7";"15";"14";"11";"14";"10";"13";"11";"5";"132"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"243";"177";"186";"137";"141";"169";"209";"194";"170";"198";"160";"154";"2138"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"172";"147";"154";"111";"139";"128";"151";"161";"167";"123";"173";"131";"1757"
"C43 - Melanoma maligno da pele";"506";"511";"452";"339";"344";"363";"431";"379";"438";"422";"420";"397";"5002"
"C44 - Outras neoplasias malignas da pele";"5307";"5341";"4977";"1977";"2622";"3164";"3441";"3628";"4152";"4229";"4350";"3995";"47183"
"C45 - Mesotelioma";"4";"4";"3";"7";"2";"2";"8";"3";"1";"6";"2";"4";"46"
"C46 - Sarcoma de Kaposi";"25";"24";"29";"21";"17";"19";"32";"23";"23";"24";"21";"18";"276"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"7";"7";"7";"4";"3";"10";"11";"10";"11";"7";"12";"16";"105"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"150";"129";"169";"118";"111";"121";"134";"154";"159";"157";"161";"122";"1685"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"926";"890";"823";"532";"607";"726";"793";"864";"930";"913";"963";"834";"9801"
"C50 - Neoplasia maligna da mama";"4448";"4232";"4486";"3218";"3273";"3476";"3895";"4069";"4368";"4322";"4438";"4930";"49155"
"C51 - Neoplasia maligna da vulva";"96";"110";"153";"63";"84";"71";"90";"91";"115";"112";"102";"93";"1180"
"C52 - Neoplasia maligna da vagina";"48";"42";"39";"29";"29";"36";"44";"56";"69";"61";"51";"47";"551"
"C53 - Neoplasia maligna do colo do útero";"1591";"1579";"1551";"1004";"1224";"1291";"1549";"1622";"1538";"1711";"1718";"1664";"18042"
"C54 - Neoplasia maligna do corpo do útero";"637";"551";"585";"392";"411";"458";"479";"549";"524";"629";"568";"573";"6356"
"C55 - Neoplasia maligna do útero, porção não especificada";"66";"69";"70";"39";"92";"59";"59";"83";"104";"81";"82";"86";"890"
"C56 - Neoplasia maligna do ovário";"581";"501";"584";"468";"466";"507";"527";"548";"606";"575";"675";"538";"6576"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"95";"111";"100";"74";"66";"70";"87";"129";"86";"129";"137";"108";"1192"
"C58 - Neoplasia maligna da placenta";"27";"28";"24";"25";"22";"21";"29";"17";"20";"21";"58";"16";"308"
"C60 - Neoplasia maligna do pênis";"84";"89";"78";"71";"77";"73";"93";"117";"100";"79";"94";"86";"1041"
"C61 - Neoplasia maligna da próstata";"3581";"3243";"3232";"1759";"1977";"2310";"2608";"2676";"2831";"2976";"2919";"2950";"33062"
"C62 - Neoplasia maligna dos testículos";"158";"149";"153";"130";"152";"127";"187";"163";"135";"173";"170";"172";"1869"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"12";"15";"27";"14";"11";"8";"11";"7";"3";"4";"3";"6";"121"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"395";"319";"377";"333";"314";"304";"309";"338";"388";"384";"334";"296";"4091"
"C65 - Neoplasia maligna da pelve renal";"36";"44";"46";"44";"41";"32";"46";"42";"44";"34";"48";"35";"492"
"C66 - Neoplasia maligna dos ureteres";"21";"15";"16";"18";"13";"22";"12";"18";"19";"22";"16";"17";"209"
"C67 - Neoplasia maligna da bexiga";"620";"585";"606";"581";"540";"564";"589";"549";"633";"621";"593";"543";"7024"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"7";"8";"8";"1";"2";"4";"12";"13";"8";"8";"4";"8";"83"
"C69 - Neoplasia maligna do olho e anexos";"117";"91";"71";"53";"62";"44";"71";"112";"113";"88";"87";"128";"1037"
"C70 - Neoplasia maligna das meninges";"24";"19";"14";"16";"10";"17";"17";"22";"24";"22";"24";"18";"227"
"C71 - Neoplasia maligna do encéfalo";"434";"364";"428";"396";"380";"417";"402";"417";"414";"466";"444";"419";"4981"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"106";"122";"99";"105";"109";"95";"104";"125";"101";"157";"102";"128";"1353"
"C73 - Neoplasia maligna da glândula tireóide";"723";"682";"674";"407";"344";"336";"458";"583";"571";"573";"623";"558";"6532"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"29";"28";"37";"34";"35";"35";"35";"30";"41";"41";"42";"33";"420"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"20";"22";"14";"17";"11";"44";"27";"33";"39";"60";"55";"20";"362"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"750";"623";"492";"348";"420";"484";"569";"556";"619";"692";"670";"583";"6806"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"869";"737";"776";"632";"679";"755";"828";"838";"868";"952";"875";"804";"9613"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"317";"248";"293";"242";"255";"239";"292";"280";"319";"308";"304";"221";"3318"
"C79 - Neoplasia maligna secundária de outras localizações";"1256";"1204";"1304";"1145";"1078";"1212";"1300";"1308";"1344";"1374";"1278";"1291";"15094"
"C80 - Neoplasia maligna, sem especificação de localização";"2563";"2263";"2272";"1225";"1170";"1438";"1593";"1721";"1622";"1525";"1367";"1330";"20089"
"C81 - Doença de Hodgkin";"216";"171";"182";"161";"155";"210";"182";"171";"221";"218";"200";"164";"2251"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"111";"94";"120";"80";"93";"85";"85";"102";"79";"111";"101";"108";"1169"
"C83 - Linfoma não-Hodgkin difuso";"386";"310";"381";"295";"358";"354";"419";"418";"395";"389";"366";"393";"4464"
"C84 - Linfomas de células T cutâneas e periféricas";"51";"56";"68";"34";"41";"52";"53";"53";"59";"62";"58";"51";"638"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"117";"103";"117";"84";"117";"94";"126";"118";"119";"142";"117";"128";"1382"
"C88 - Doenças imunoproliferativas malignas";"393";"498";"235";"284";"42";"101";"316";"318";"14";"771";"19";"288";"3279"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"291";"283";"264";"242";"245";"254";"296";"306";"303";"316";"307";"292";"3399"
"C91 - Leucemia linfóide";"299";"262";"239";"201";"213";"229";"245";"284";"275";"284";"262";"254";"3047"
"C92 - Leucemia mielóide";"358";"278";"341";"244";"255";"245";"264";"255";"276";"292";"249";"283";"3340"
"C93 - Leucemia monocítica";"4";"5";"1";"7";"5";"4";"2";"2";"4";"2";"2";"7";"45"
"C94 - Outras leucemias de células de tipo especificado";"16";"13";"13";"11";"10";"6";"14";"11";"11";"18";"17";"14";"154"
"C95 - Leucemia de tipo celular não especificado";"47";"22";"11";"17";"17";"11";"11";"28";"23";"18";"19";"23";"247"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"44";"32";"40";"21";"22";"32";"35";"32";"33";"31";"38";"44";"404"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"155";"137";"128";"58";"74";"31";"0";"1";"1";"3";"2";"3";"593"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"122";"126";"108";"31";"31";"81";"70";"120";"156";"135";"164";"144";"1288"
"D01 - Carcinoma in situ de outros órgãos digestivos";"133";"120";"137";"64";"92";"118";"102";"127";"123";"181";"176";"148";"1521"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"14";"18";"28";"17";"16";"12";"20";"23";"37";"19";"28";"30";"262"
"D03 - Melanoma in situ";"21";"31";"34";"22";"14";"27";"32";"22";"25";"39";"49";"22";"338"
"D04 - Carcinoma in situ da pele";"1190";"1029";"923";"429";"527";"678";"790";"850";"1059";"1213";"1200";"983";"10871"
"D05 - Carcinoma in situ da mama";"225";"188";"238";"122";"157";"166";"161";"188";"203";"167";"170";"147";"2132"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"779";"800";"773";"532";"564";"582";"618";"579";"572";"604";"619";"589";"7611"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"168";"200";"187";"86";"95";"134";"158";"164";"188";"228";"195";"152";"1955"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"112";"91";"108";"65";"106";"200";"182";"187";"227";"122";"250";"222";"1872"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"693";"632";"614";"328";"409";"384";"444";"593";"713";"700";"704";"536";"6750"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"89";"111";"86";"93";"68";"75";"92";"88";"102";"93";"95";"75";"1067"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"453";"399";"474";"354";"342";"328";"342";"397";"357";"457";"433";"465";"4801"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"339";"323";"270";"161";"211";"304";"290";"340";"336";"367";"342";"276";"3559"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"79";"92";"76";"59";"64";"66";"70";"80";"80";"81";"99";"76";"922"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"4";"3";"6";"2";"9";"4";"7";"6";"7";"4";"12";"7";"71"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"467";"506";"407";"395";"343";"334";"313";"309";"291";"320";"294";"314";"4293"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"278";"272";"240";"96";"121";"154";"171";"202";"190";"305";"273";"207";"2509"
"D45 - Policitemia vera";"47";"29";"25";"19";"25";"28";"52";"41";"50";"37";"36";"43";"432"
"D46 - Síndromes mielodisplásicas";"91";"98";"84";"54";"81";"102";"89";"80";"107";"97";"99";"95";"1077"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"196";"170";"125";"93";"124";"140";"306";"298";"279";"366";"291";"353";"2741"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"4176";"4216";"4720";"2087";"2044";"2356";"2872";"3255";"3786";"4224";"4487";"4581";"42804"
"Total";"49709";"46720";"46850";"30388";"32660";"35939";"40418";"42391";"44892";"47320";"46557";"44793";"508637"
