"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"720";"965";"1685"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"4905";"4896";"9801"
"C50 - Neoplasia maligna da mama";"1072";"48083";"49155"
"C51 - Neoplasia maligna da vulva";"4";"1176";"1180"
"C52 - Neoplasia maligna da vagina";"3";"548";"551"
"C53 - Neoplasia maligna do colo do útero";"94";"17948";"18042"
"C54 - Neoplasia maligna do corpo do útero";"5";"6351";"6356"
"C55 - Neoplasia maligna do útero, porção não especificada";"3";"887";"890"
"C56 - Neoplasia maligna do ovário";"4";"6572";"6576"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"3";"1189";"1192"
"C58 - Neoplasia maligna da placenta";"8";"300";"308"
"C60 - Neoplasia maligna do pênis";"1036";"5";"1041"
"C61 - Neoplasia maligna da próstata";"33023";"39";"33062"
"C62 - Neoplasia maligna dos testículos";"1868";"1";"1869"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"116";"5";"121"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2358";"1733";"4091"
"C65 - Neoplasia maligna da pelve renal";"286";"206";"492"
"C66 - Neoplasia maligna dos ureteres";"122";"87";"209"
"C67 - Neoplasia maligna da bexiga";"4933";"2091";"7024"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"44";"39";"83"
"C69 - Neoplasia maligna do olho e anexos";"570";"467";"1037"
"C70 - Neoplasia maligna das meninges";"91";"136";"227"
"C71 - Neoplasia maligna do encéfalo";"2603";"2378";"4981"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"728";"625";"1353"
"C73 - Neoplasia maligna da glândula tireóide";"1028";"5504";"6532"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"218";"202";"420"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"127";"235";"362"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"3318";"3488";"6806"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"4729";"4884";"9613"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1598";"1720";"3318"
"C79 - Neoplasia maligna secundária de outras localizações";"7068";"8026";"15094"
"C80 - Neoplasia maligna, sem especificação de localização";"8367";"11722";"20089"
"C81 - Doença de Hodgkin";"1231";"1020";"2251"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"608";"561";"1169"
"C83 - Linfoma não-Hodgkin difuso";"2477";"1987";"4464"
"C84 - Linfomas de células T cutâneas e periféricas";"361";"277";"638"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"779";"603";"1382"
"C88 - Doenças imunoproliferativas malignas";"921";"2358";"3279"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"1835";"1564";"3399"
"C91 - Leucemia linfóide";"1775";"1272";"3047"
"C92 - Leucemia mielóide";"1793";"1547";"3340"
"C93 - Leucemia monocítica";"23";"22";"45"
"C94 - Outras leucemias de células de tipo especificado";"81";"73";"154"
"C95 - Leucemia de tipo celular não especificado";"148";"99";"247"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"217";"187";"404"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"278";"315";"593"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"593";"695";"1288"
"D01 - Carcinoma in situ de outros órgãos digestivos";"659";"862";"1521"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"183";"79";"262"
"D03 - Melanoma in situ";"135";"203";"338"
"D04 - Carcinoma in situ da pele";"4673";"6198";"10871"
"D05 - Carcinoma in situ da mama";"46";"2086";"2132"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"3";"7608";"7611"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"1098";"857";"1955"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"780";"1092";"1872"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"2615";"4135";"6750"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"678";"389";"1067"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"10";"4791";"4801"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"3548";"11";"3559"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"548";"374";"922"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"26";"45";"71"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"2122";"2171";"4293"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"523";"1986";"2509"
"D45 - Policitemia vera";"237";"195";"432"
"D46 - Síndromes mielodisplásicas";"512";"565";"1077"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"1272";"1469";"2741"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"14973";"27831";"42804"
"Total";"223349";"285288";"508637"
