"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C91 - Leucemia linfóide";"1895";"1451";"3346"
"C92 - Leucemia mielóide";"2033";"1767";"3800"
"C93 - Leucemia monocítica";"85";"103";"188"
"C94 - Outras leucemias de células de tipo especificado";"88";"54";"142"
"C95 - Leucemia de tipo celular não especificado";"156";"153";"309"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"238";"182";"420"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"540";"768";"1308"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"357";"617";"974"
"D01 - Carcinoma in situ de outros órgãos digestivos";"530";"659";"1189"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"176";"84";"260"
"D03 - Melanoma in situ";"222";"235";"457"
"D04 - Carcinoma in situ da pele";"5317";"7019";"12336"
"D05 - Carcinoma in situ da mama";"190";"2589";"2779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"216";"10303";"10519"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"1011";"806";"1817"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"770";"1059";"1829"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"2449";"3913";"6362"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"652";"471";"1123"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"74";"6291";"6365"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"3388";"11";"3399"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"571";"419";"990"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"20";"36";"56"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"2045";"2333";"4378"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"599";"3217";"3816"
"D45 - Policitemia vera";"249";"216";"465"
"D46 - Síndromes mielodisplásicas";"657";"707";"1364"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"1316";"1657";"2973"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"13773";"26737";"40510"
"Total";"246851";"317006";"563857"
