"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C61 - Neoplasia maligna da próstata";"43243";"42";"43285"
"C62 - Neoplasia maligna dos testículos";"2039";"4";"2043"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"265";"4";"269"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2748";"2154";"4902"
"C65 - Neoplasia maligna da pelve renal";"297";"214";"511"
"C66 - Neoplasia maligna dos ureteres";"129";"88";"217"
"C67 - Neoplasia maligna da bexiga";"5531";"2437";"7968"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"37";"39";"76"
"C69 - Neoplasia maligna do olho e anexos";"673";"578";"1251"
"C70 - Neoplasia maligna das meninges";"89";"134";"223"
"C71 - Neoplasia maligna do encéfalo";"2641";"2402";"5043"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"662";"576";"1238"
"C73 - Neoplasia maligna da glândula tireóide";"1251";"8093";"9344"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"226";"251";"477"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"123";"273";"396"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"3410";"3602";"7012"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"4558";"5207";"9765"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1656";"1761";"3417"
"C79 - Neoplasia maligna secundária de outras localizações";"7073";"8115";"15188"
"C80 - Neoplasia maligna, sem especificação de localização";"8199";"13236";"21435"
"C81 - Doença de Hodgkin";"1233";"1024";"2257"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"550";"604";"1154"
"C83 - Linfoma não-Hodgkin difuso";"2447";"2071";"4518"
"C84 - Linfomas de células T cutâneas e periféricas";"354";"326";"680"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"944";"715";"1659"
"C88 - Doenças imunoproliferativas malignas";"1735";"4374";"6109"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"2356";"2238";"4594"
"C91 - Leucemia linfóide";"1939";"1523";"3462"
"C92 - Leucemia mielóide";"1928";"1702";"3630"
"C93 - Leucemia monocítica";"73";"54";"127"
"C94 - Outras leucemias de células de tipo especificado";"82";"62";"144"
"C95 - Leucemia de tipo celular não especificado";"100";"62";"162"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"242";"220";"462"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"27";"23";"50"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"1054";"1737";"2791"
"D01 - Carcinoma in situ de outros órgãos digestivos";"823";"1106";"1929"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"199";"122";"321"
"D03 - Melanoma in situ";"569";"882";"1451"
"D04 - Carcinoma in situ da pele";"7208";"10814";"18022"
"D05 - Carcinoma in situ da mama";"152";"2624";"2776"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"11";"9510";"9521"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"2579";"1046";"3625"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"1348";"2093";"3441"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"4196";"6635";"10831"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"880";"623";"1503"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"9";"6236";"6245"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"5599";"11";"5610"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"739";"480";"1219"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"77";"58";"135"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"1791";"2140";"3931"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"740";"3672";"4412"
"D45 - Policitemia vera";"254";"237";"491"
"D46 - Síndromes mielodisplásicas";"616";"647";"1263"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"2435";"3070";"5505"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"20270";"43041";"63311"
"Total";"266001";"364910";"630911"
