"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"861";"540";"1401"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"7";"5779";"5786"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"4653";"7";"4660"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"720";"513";"1233"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"33";"55";"88"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"2608";"2966";"5574"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"520";"2545";"3065"
"D45 - Policitemia vera";"271";"226";"497"
"D46 - Síndromes mielodisplásicas";"525";"636";"1161"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"1403";"1709";"3112"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"18380";"35459";"53839"
"Total";"244309";"326408";"570717"
